Tanggal;Banyak Retweet;Tweet;Terjemah
17/05/2021 00:01;0.0;upaya hancur fasilitas gaza lemah dukung rakyat gaza hamas konsiaten juang dengan lawan senjata sisi palestine juang dengan diplomacy;efforts to destroy facilities, gaza is weak, support the people of gaza, hamas, conscientiously fight with opponents, weapons, the palestinian side, fight with diplomacy
17/05/2021 00:14;1.0;bansos itu korupsi donasi palestina nyampe ngelola orang profesional;social assistance is corruption, palestinian donations are managed by professionals
17/05/2021 00:15;0.0;informasi daftar terima dana bansos 2021 mengatasnamakan pemprov diy;information on the list of receiving social assistance funds in 2021 on behalf of the diy provincial government
17/05/2021 00:18;0.0;berani madam bansos harun masiku mngungkap km50 layak presiden tapi bukan drama drama;dare madam social assistance harun masiku reveal km50 worthy of the president but not a drama drama
17/05/2021 00:22;0.0;komisi iii dpr korupsi bansos siak sangka;commission iii of the dpr, corruption, social assistance, i think
17/05/2021 00:24;0.0;apa kabar madam bansos kyaknya merka berhasil lolos issue tau bullshit tega antikorup negeri dongeng;how are you madam bansos, i think they managed to pass the issue, you know that bullshit has the heart to be anti-corruption in a fairy tale country
17/05/2021 00:30;0.0;ekonomi bangsa negara henti bansos covid 19;the nation's economy stops the covid 19 social assistance
17/05/2021 00:36;0.0;kamu repot itu dana bansos kenapa ko audit kamu yahudi kenapa ngurusi dana sumbang masyarakat mereka iklhas kenapa mesti audit kamu nyumbang berapa nand kamu pro israel ribut kalau nyumbang palestina ribut urus diri becus ngurus;you are a bother, it is a social assistance fund, why are you auditing, you are a jew, why are you taking care of public donations, they are sincere, why do you have to audit, how much do you contribute, and you are a pro israel. you are noisy when you donate, palestine is noisy. take care of yourself. you can take care of yourself.
17/05/2021 00:41;0.0;saking banyak issu rezim sampai lupa fokus karena belum kelar muncul ham ekonomi roket utang gunung uu cilaka rev uu kpk mega korupsi bansos implementasi uu it covid 19 tidak sinkron bijak tes twk kpk;there are so many regime issues that they forget to focus because they haven't finished yet. the rocket economy of mountain debt uu cilaka rev uu kpk mega corruption social assistance bill implementation covid 19 out of sync wisely test twk kpk
17/05/2021 00:42;6.0;peduli rakyat kait wabah gratis infromasi simpang siur transparan rakyat sehat negara kuat negara miskin gara gara sehat rakyat bansos korupsi;care for the people, hook up the free epidemic, transparent, confusing information, healthy people, strong countries, poor countries, because of healthy people, social assistance for corruption
17/05/2021 00:43;0.0;awas alih isu usut tuntas 6 laskar kawal maling bansos;watch out for the transfer of the issue, thoroughly investigate 6 troops escorting social aid thieves
17/05/2021 00:45;6.0;peduli rakyat kait wabah gratis infromasi simpang siur tran;care for the people, hooks up to the free epidemic, confusing information trans
17/05/2021 00:50;0.0;cek terima blt umkm 1 2 juta login syarat cair blt umkm bansos covid 19;check received blt umkm 1 2 million login liquid requirements blt umkm social assistance covid 19
