Tanggal;Banyak Retweet;Tweet
05/05/2021 00:00;0.0;halah kaget alat test manipulasi bansos korupsi harap perintah indonesia
05/05/2021 00:00;1977.0;terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:01;442.0;2 tangan sidik nama edar media singkir kpk
05/05/2021 00:01;467.0;hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:01;1730.0;usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:02;7.0;sedia barang bansos fiktif banget rakus harga di-mark up komisi embat jahat
05/05/2021 00:02;231.0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:03;4.0;rangkum bantu cair mei 2021 ayo pasti lumayan modal lebaran thari thari tunjanganhariraya bantuantunai bantu bantuan sosial bansos tukarpikiran
05/05/2021 00:04;0.0;bacot doang bansos gimana harun masiku kabar otak pakai
05/05/2021 00:05;11.0;korupsi bansos itu receh pemprov dki mata bagak liat
05/05/2021 00:05;716.0;mahasiswa tagih janji kpk hukum mati koruptor bansos covid 19
05/05/2021 00:06;4.0;banget kamu bantu sosial bansos cair mei ayo simak info tarik sayang banget leewatkan ini bansos bantu bantuan sosial tukarpikiran blt bltcair
05/05/2021 00:06;3332.0;sidik bongkar korupsi kakap seperti e-ktapi simulator sim ekspor benur juga bansos bisa asn karena tidak l
05/05/2021 00:08;4.0;banget kamu bantu sosial bansos cair mei ayo disi
05/05/2021 00:08;0.0;inul vista pake dana bansos
05/05/2021 00:08;4.0;rangkum bantu cair mei 2021 ayo pasti lumayan b
05/05/2021 00:09;79.0;potensi sdm kpk uji taruh nyawa untuk berantas korupsi
05/05/2021 00:10;0.0;kalau pake data bilang ekonomi buruk doi pilih pakai tren baik jiahahahahahahaha lihai tukang surpey nganggur bejibun pandemi nakut 2i bansos korup thari potong pake baik
05/05/2021 00:11;0.0;justeru halu radikalisme khilafah tutup fakta bahaya korupsi bansos e-ktapi asabri jiwasraya korupsi libat partai dukung jokowi
05/05/2021 00:12;82.0;data ganda terima bansos 21 juta ambil data kpu milu 2019
05/05/2021 00:14;1.0;pdip partai raja korup madam bansos terus ideologi komunis ganti pancasila men
05/05/2021 00:14;996.0;risma data ganda terima bansos bobrok kerja kader pdip juliari batubara salah er
05/05/2021 00:20;78.0;temu 21 data ganda terima bansos risma saran mundur mensos
05/05/2021 00:26;197.0;a sidik senior tangan korupsi simulator sim bansos 2020 pada 2012 sidik korups
05/05/2021 00:26;0.0;formula e perkara angkat seperti  hilang harun masiku bansos mandeg nama hilang surat dakwa terang benerang
05/05/2021 00:28;68.0;sidik kpk tidak kendali hukum berantas korupsi us
05/05/2021 00:29;0.0;21 juta data ganda alokasi dana bansos 21 juta data fiktif salur 31 5 t
05/05/2021 00:42;0.0;orng korupsi bansos
05/05/2021 00:45;0.0;madam bansos kabur niih  penyidik kpk duga pecat tangan korupsi kakap
05/05/2021 00:47;79.0;duga singkir insan baik kpk tangan mega korupsi bumi pertiwi seperti bansos bi
05/05/2021 00:47;0.0;tes wawasan bangsa korupsi bansos pandemia muas pejabatb peras rakyat
05/05/2021 00:54;0.0;buram kamu enak hidup vaksin gratis dapat bansos ya tidak ya nga
05/05/2021 00:54;1.0;freelancing sugih babi ngepet dsbcewek perkosa cowok disalahin ceweknyakorupsi uang
