Tanggal,Banyak Retweet,Tweet,Terjemah,Subjectivity,Polarity,Sentiment,Sentiments,prediction
05/05/2021 00:00,0.0,halah kaget alat test manipulasi bansos korupsi harap perintah indonesia,"i'm surprised that the social assistance manipulation test tool is corrupt, i hope indonesia's orders",0.6555555555555556,-0.1222222222222222,negatif,1,1
05/05/2021 00:00,1977.0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k,explained that the witness charged with holding the ministry of social affairs invited a technical team for social assistance karaoke senayan as a gift k,0.0777777777777777,0.0222222222222222,positif,2,2
05/05/2021 00:01,442.0,2 tangan sidik nama edar media singkir kpk,2 hands print media circulation name get rid of kpk,0.0,0.0,netral,0,0
05/05/2021 00:01,467.0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan,"confronting kpk mega corruption, social assistance for exporting lobster seeds, tycoon",0.0666666666666666,0.0333333333333333,positif,2,2
05/05/2021 00:01,1730.0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi,"efforts to provide fictitious social assistance packages have indeed carried out social assistance corruption, tying commissions",0.0666666666666666,0.0333333333333333,positif,2,2
05/05/2021 00:02,7.0,sedia barang bansos fiktif banget rakus harga di-mark up komisi embat jahat,"there are really fictitious social assistance items that are greedy, the prices are marked up with bad commissions",0.3833333333333333,-0.0916666666666666,negatif,1,1
05/05/2021 00:02,231.0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis,arrest madam bansos savekpkbambang widjojanto indications of kpk's tbsp running out,0.0,-0.05,negatif,1,1
05/05/2021 00:03,4.0,rangkum bantu cair mei 2021 ayo pasti lumayan modal lebaran thari thari tunjanganhariraya bantuantunai bantu bantuan sosial bansos tukarpikiran,"summarize the liquidated assistance in may 2021, come on, it must be quite a capital for eid today, hari raya allowances, cash assistance, social assistance, social assistance, brainstorming",0.0666666666666666,0.0333333333333333,positif,2,2
05/05/2021 00:04,0.0,bacot doang bansos gimana harun masiku kabar otak pakai,"just suck on social assistance, how about harun, i'm still saying that the brain uses it",0.0666666666666666,0.0333333333333333,positif,2,2
05/05/2021 00:05,11.0,korupsi bansos itu receh pemprov dki mata bagak liat,"social assistance corruption is a waste of money from the dki provincial government, the eyes are like seeing",0.0333333333333333,-0.0833333333333333,negatif,1,1
