Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-13 00:06:02,b'bayangno mas mas e dadi bansos sg salah salah sasaran https://t.co/3Rh1nuPy1t',1392632188428898306,endyseu,0,Twitter for Android,0,[]
2021-05-13 00:08:59,b'@Sumbu_Pondok @rahmani_ima ngutang 6000T lebih dapatnya cuma bansos mie instan',1392632933291229185,dellins96364605,0,Twitter for Android,0,[]
2021-05-13 00:21:10,b'\xf0\x9f\x92\xaapemberian bansos secara langsung jadi bukti kehadiran \n\xf0\x9f\x87\xae\xf0\x9f\x87\xa9negara Di tengah Masyarakat\n\n.\n...\n.....\n........\n#DukungKebaikanUntukNKRI \n#DukungKebaikanUntukNKRI https://t.co/9qPvxqHRpS',1392635996601151488,jdara25,0,Twitter for Android,0,"['DukungKebaikanUntukNKRI', 'DukungKebaikanUntukNKRI']"
2021-05-13 00:21:38,b'#DukungKebaikanUntukNKRI\n\xf0\x9f\x87\xae\xf0\x9f\x87\xa9Pemberian bansos secara langsung jadi bukti kehadiran negara untuk masyarakat \n#DukungKebaikanUntukNKRI https://t.co/FN7fiWqRwP',1392636117065764866,nyananan36,0,Twitter for Android,0,"['DukungKebaikanUntukNKRI', 'DukungKebaikanUntukNKRI']"
2021-05-13 00:30:12,b'Bansos diberikan secara langsung agar menjadi bukti\n.\n.\n#DukungKebaikanUntukNKRI https://t.co/QvbncyfxkL',1392638270467575810,Yogiesmemed3,0,Twitter for Android,0,['DukungKebaikanUntukNKRI']
2021-05-13 00:45:29,b'Rakyat indonesia memaafkan kecuali korupsi dana bansos',1392642118363926528,the_stigz,0,Twitter for iPhone,0,[]
2021-05-13 01:05:04,b'@sukalayang @YongGan16 @Jinggaviolet3 Karena bansos tertangani dan sedang d proses beda dengan subsidi menguap alih2 keberpihakan ambil untung di lingkaran mafia migas berlindung di balik legalitas kebijakan dlm menghadapi krisis',1392647044485971971,Naia94093308,0,Twitter for iPhone,0,[]
2021-05-13 01:08:27,"b'@mohd_arpani @pujianto_hary @miraperma @rizieqdivist @AlissaWahid Andre Nainggolan, non muslim yang lg nanganin kasus bansos lo blg jahiliyah? Pak Firli yg pernah melanggar kode etik berat dan diberhentikan dr kpk lo sebut apa dong?'",1392647899306086400,m_husni_m,0,Twitter for Android,0,[]
2021-05-13 01:13:42,"b'RT @kemenkopmk: #SahabatPMK, Jelang Hari Raya Idul Fitri 1442 Hijriyah, pemerintah mengupayakan percepatan penyaluran bansos. Baik itu PKH,\xe2\x80\xa6'",1392649216971841537,didikmojokerto,10,Twitter for Android,1,['SahabatPMK']
2021-05-13 01:13:46,"b'RT @kemendespdtt: Disampaikan oleh Mendes PDTT Abdul Halim Iskandar @halimiskandarnu saat rapat koordinasi tingkat menteri secara daring, t\xe2\x80\xa6'",1392649236072656901,didikmojokerto,15,Twitter for Android,1,[]
