Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-16 23:53:06,"b'@gotluking @mugiarso74 @AntikGitar @aniesbaswedan @jokowi Halah bani kadal itu apaa to. Paling keras kritik pemerintah, giliran MISKIN ajaa nyalahin pemerintah. GILIRAN BANSOS ajaa paling depan \xf0\x9f\xa4\xa3\n\nMulut sama pantat sama sama bau \xf0\x9f\xa4\xa3'",1394078487183388675,Ghundraman,0,Twitter for Android,0,[]
2021-05-16 23:52:21,"b'@nymsuginata @H4T14K4LN4L42 @BersamaSahabat4 Malu kenapa, lebih parah lagi kelakuan bani BIPANG korupsi bansos \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'",1394078298620063744,TEEJA12058738,0,Twitter for Android,0,[]
2021-05-16 23:42:05,b'RT @PresidenKopi: Assalamualaikum @KPK_RI minal Aidin walfaidzin \xf0\x9f\x99\x8f. selamat bekerja. Dan jangn lupa istighfar ya. Semoga kasus2.\nAsabri \nJi\xe2\x80\xa6',1394075713771245569,DSXL3,14,Twitter for Android,1,[]
2021-05-16 23:38:09,b'RT @PresidenKopi: Assalamualaikum @KPK_RI minal Aidin walfaidzin \xf0\x9f\x99\x8f. selamat bekerja. Dan jangn lupa istighfar ya. Semoga kasus2.\nAsabri \nJi\xe2\x80\xa6',1394074722917253121,MadSusanto_,14,Twitter Web App,1,[]
2021-05-16 23:37:09,b'RT @PresidenKopi: Assalamualaikum @KPK_RI minal Aidin walfaidzin \xf0\x9f\x99\x8f. selamat bekerja. Dan jangn lupa istighfar ya. Semoga kasus2.\nAsabri \nJi\xe2\x80\xa6',1394074472903176192,ArifinNaftalia,14,Twitter for iPhone,1,[]
2021-05-16 23:33:36,b'RT @PresidenKopi: Assalamualaikum @KPK_RI minal Aidin walfaidzin \xf0\x9f\x99\x8f. selamat bekerja. Dan jangn lupa istighfar ya. Semoga kasus2.\nAsabri \nJi\xe2\x80\xa6',1394073578463588356,aliandottcom,14,Twitter for Android,1,[]
2021-05-16 23:33:02,"b'Assalamualaikum @KPK_RI minal Aidin walfaidzin \xf0\x9f\x99\x8f. selamat bekerja. Dan jangn lupa istighfar ya. Semoga kasus2.\nAsabri \nJiwasraya\nBansos \nLobster\nKasus walkot Tj balai.\nBisa berjalan dengan baik. Ohh ya min , Azis Syamsuddin juga jangan lupa Kelen panggil lagi ya.'",1394073435597250564,PresidenKopi,14,Twitter for Android,0,[]
2021-05-16 23:31:48,"b'Menteri Sosial Tri Rismaharini: ""New Data Terpadu Kesejahteraan Sosial (DTKS), memudahkan nmasyarakat dalam mendaftar terima Bantuan Sosial/BanSos serta melaporkannya""\n#JokowiLawanPandemi https://t.co/RXAEOp88NH'",1394073126367993859,AnakSarah1,0,Twitter Web App,0,['JokowiLawanPandemi']
2021-05-16 23:30:28,b'@chasaika Korupsi uang bansos',1394072792329379840,riyadirul,0,Twitter for iPhone,0,[]
2021-05-16 23:28:03,b'Jadi...\nBantuan tersebut kemana???\n\nMosok nasibnya sama seperti bansos? https://t.co/tUV8mqfrHi',1394072181651480577,YPrimatdee,0,Twitter for Android,0,[]
2021-05-16 23:20:50,"b'@TofaTofa_id @aniesbaswedan @ArizaPatria @DKIJakarta biasanye klo kek bgitu program kementrian agama,, bs jd tanpa harus izin gubernur. sebagai contoh..bansos DKi bukannye beda ama bansos kemensos yeh..klo kemensos bansos nye di tilep..menurut ane mah gitu sich..'",1394070367514152961,BaunkH,2,Twitter Web App,0,[]
2021-05-16 23:11:12,b'RT @julio_PTG: Melihat kesaksian demi kesaksian membuktikan sebuah fakta bahwa penerapan pasal suap oleh @KPK_RI dalam setiap aksi OTT hany\xe2\x80\xa6',1394067943328141313,TitikNol01,45,Twitter for Android,1,[]
2021-05-16 23:08:36,"b'@KompasTV @knpiharis Kami mendukung bansos untuk rakyat kecil, semoga tidak ada korupsi'",1394067288370806785,BocahPati9,0,Twitter for Android,0,[]
2021-05-16 23:06:17,b'RT @julio_PTG: Melihat kesaksian demi kesaksian membuktikan sebuah fakta bahwa penerapan pasal suap oleh @KPK_RI dalam setiap aksi OTT hany\xe2\x80\xa6',1394066704670478336,ipungkurnia,45,Twitter for Android,1,[]
2021-05-16 23:06:13,"b'@CrbSira @mnashihun @msaid_didu Saya juga setuju kalau kasus sumber waras diangkat lagi ,, dan satu lagi ini yg salah penyidik seperti novel atau karena banyak nya kasus di partai merah yg masih simpang siur ya bansos masiku blbi dan lain lain \xf0\x9f\xa4\x94'",1394066689004736517,benzemafaraj_m,0,Twitter for Android,0,[]
2021-05-16 23:03:15,b'RT @julio_PTG: Melihat kesaksian demi kesaksian membuktikan sebuah fakta bahwa penerapan pasal suap oleh @KPK_RI dalam setiap aksi OTT hany\xe2\x80\xa6',1394065940057255938,muh_utomo,45,Twitter Web App,1,[]
