Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-17 09:41:29,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394226559741960193,Lizalarilari,73,Twitter Web App,1,[]
2021-05-17 09:40:28,b'RT @RicKY_KCh: Penyidik KPK kini terbelah antara kelompok pendukung pengusutan tuntas korupsi dana bansos dan yang tidak. Kelompok pendukun\xe2\x80\xa6',1394226302157090822,kus7anto,59,Twitter for Android,1,[]
2021-05-17 09:40:07,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394226215561560066,ronicuexz,73,Twitter for Android,1,[]
2021-05-17 09:39:48,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394226135685222402,Ghaney_P,73,Twitter for Android,1,[]
2021-05-17 09:39:41,b'@imannurkhalis Korup Bansos lg',1394226105209348103,pakarkampanye,0,Twitter Web App,0,[]
2021-05-17 09:39:29,b'RT @RicKY_KCh: Penyidik KPK kini terbelah antara kelompok pendukung pengusutan tuntas korupsi dana bansos dan yang tidak. Kelompok pendukun\xe2\x80\xa6',1394226056031137794,Tere49806893,59,Twitter for Android,1,[]
2021-05-17 09:37:35,b'@EnggalPMT Suara partai yg konon ktny pengikut Bung Karno malah gk terengar membela Palestina. Mungkin masih asyik ngakalin kasus bansos biar bs selamat.',1394225577729478658,rabbani_rasydan,0,Twitter Web App,0,[]
2021-05-17 09:36:44,b'RT @RaisaTjokrodnta: MALING BANSOS harus dihukum Mati !\n\nhttps://t.co/a0uIHAl0j4',1394225363929034753,RistyRosinta,6,Twitter for Android,1,[]
2021-05-17 09:36:18,b'RT @RaisaTjokrodnta: Upaya intelejen membungkam suara  FPI terhadap kejahatan Korupsi Bansos telah berhasil sejauh ini\n\nhttps://t.co/vTZK7S\xe2\x80\xa6',1394225253539147776,Fransisca_mhd,3,Twitter for Android,1,[]
2021-05-17 09:35:13,b'RT @RaisaTjokrodnta: MALING BANSOS harus dihukum Mati !\n\nhttps://t.co/a0uIHAl0j4',1394224979881861121,Fransisca_mhd,6,Twitter for Android,1,[]
2021-05-17 09:34:21,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394224761228521475,Mohamma18617485,73,Twitter for Android,1,[]
2021-05-17 09:32:19,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394224252388188161,marSyaheedAS,73,Twitter for Android,1,[]
2021-05-17 09:29:45,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394223604007534594,dedstea,73,Twitter for Android,1,[]
2021-05-17 09:29:04,b'Para BuzzeRp sebenarnya masih berwujud manusia tapi sifat2nya sdh berubah mjd binatang bahkan Iblis. Mgkn karena yg mereka makan adlh dibeli dari uang hasil korupsi bansos dll. Bayaran hasil kerja mereka dari para bandarnya. Tiap rintihan si miskin yg digarong uangnya mjd bencana',1394223434490470405,HeriSuwondo2,0,Twitter for Android,0,[]
2021-05-17 09:27:07,b'RT @RicKY_KCh: Penyidik KPK kini terbelah antara kelompok pendukung pengusutan tuntas korupsi dana bansos dan yang tidak. Kelompok pendukun\xe2\x80\xa6',1394222940242145284,shm_77,59,Twitter Web App,1,[]
2021-05-17 09:26:55,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394222891961438208,drohmansyah1607,73,Twitter for Android,1,[]
2021-05-17 09:26:40,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394222828799418381,SuwandiDandi4,73,Twitter Web App,1,[]
2021-05-17 09:26:40,"b'@bangZhack86 Gak setuju tapi hanya sekedar ocehan macam obrolan dipangkalan ojek. Apa gunanya Presiden? \nAtau mungkin, itu ide Pak Camat, Bupati, Walikota, Gubernur atau Presiden? Atau jgn-jgn usulan madam bansos.'",1394222827973353474,penipu_2periode,0,Twitter for iPad,0,[]
2021-05-17 09:26:21,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394222749942312961,zeinvey,73,Twitter for Android,1,[]
2021-05-17 09:26:12,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394222711677677570,wongcilik1234,73,Twitter for Android,1,[]
2021-05-17 09:25:52,"b'@aeribase Dapet bansos, makanya cepet'",1394222626730496004,jncyin,0,Twitter for Android,0,[]
2021-05-17 09:25:46,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394222603364012035,eko_juandri,73,Twitter Web App,1,[]
2021-05-17 09:25:32,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394222543272255489,lukmanihsan,73,Twitter for Android,1,[]
2021-05-17 09:25:16,b'Komisi III DPR Ingin Korupsi Bansos Siak Segera Ada Tersangka - https://t.co/VLWVvIbwlc Via Beritahu Siak  https://t.co/9aRQq2plxh',1394222478734630914,aritrijunianto,0,IFTTT,0,[]
2021-05-17 09:24:06,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394222183132524546,mustangidahumi1,73,Twitter for Android,1,[]
2021-05-17 09:23:01,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394221910246846467,imron_als0,73,Twitter for Android,1,[]
2021-05-17 09:21:56,"b'RT @haikal_hassan: Pegawai KPK yg sedang tangani Harun Masiku, korupsi Bansos, yg menyeret 2 menteri dikabinet koalisi ini TIDAK LULUS wawa\xe2\x80\xa6'",1394221638795677699,Rozi17136983,430,Twitter Web App,1,[]
2021-05-17 09:19:32,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394221035063451648,baliqnerek,73,Twitter for Android,1,[]
2021-05-17 09:19:22,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394220992264765441,viskaya,73,Twitter Web App,1,[]
2021-05-17 09:18:56,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394220882445312003,AnisHudaya,73,Twitter for Android,1,[]
2021-05-17 09:18:39,"b'RT @Julie_An4: Puji TUHAN akhirnya masyarakat Indonesia sudah tidak membutuhkan \nBansos, BPJS dll , terbukti warga +62 kaya2 \xf0\x9f\x91\x87 https://t.co\xe2\x80\xa6'",1394220813520302080,AdiKarim3,6,Twitter for Android,1,[]
2021-05-17 09:18:35,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394220793261740033,mnsurbakti,73,Twitter for Android,1,[]
2021-05-17 09:18:06,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394220674437185539,deus_xmchn,73,Twitter for Android,1,[]
2021-05-17 09:18:03,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394220660889513985,anto1251,73,Twitter for Android,1,[]
2021-05-17 09:15:56,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394220128913428481,FanraJoy,73,Twitter for Android,1,[]
2021-05-17 09:15:12,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394219944959565825,PAS17APRIL,73,Twitter for Android,1,[]
2021-05-17 09:15:02,"b'RT @NS_Indah79: Lewat New Data Terpadu Kesejahteraan Sosial (DTKS), Masyarakat Bisa Daftar Terima Bansos dan Melaporkan\n\nJika masyarakat me\xe2\x80\xa6'",1394219900025987074,YULITAS4121,9,Twitter for Android,1,[]
2021-05-17 09:14:58,b'RT @M3juahjuah: Menteri Sosial Tri Rismaharini informasikan lewat new data terpadu kesejahteraan sosial (DTKS) masyarakat akan bisa daftar\xe2\x80\xa6',1394219886528761860,YULITAS4121,0,Twitter for Android,1,[]
2021-05-17 09:14:54,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394219865951539210,muhamaddaudabd3,73,Twitter for Android,1,[]
2021-05-17 09:14:45,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394219830891274241,Maswiro3,73,Twitter for Android,1,[]
2021-05-17 09:14:18,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394219718085537794,Aryaadi67273603,73,Twitter for Android,1,[]
2021-05-17 09:14:07,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394219672296329224,GooseAlfa,73,Twitter for Android,1,[]
2021-05-17 09:13:40,b'RT @zarazettirazr: Pejabat Kemensos itu bernama Victorious Saut Hamonangan selaku Direktur Rehabilitasi Sosial Korban Napza. Dia mengaku me\xe2\x80\xa6',1394219556684529665,adi_mbee,73,Twitter for Android,1,[]
