Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-19 23:59:59,b'Penyaluran bansos untuk masyarakat yg terkena dampak covid-19 https://t.co/p85tfogTFR',1395167383296249859,DanantaPratiwi,0,Twitter for Android,0,[]
2021-05-19 23:59:59,b'Penyaluran bansos untuk masyarakat yg terkena dampak covid-19 https://t.co/kIAxf8LAJU',1395167383292051457,DanantaPratiwi,0,Twitter for Android,0,[]
2021-05-19 23:59:42,b'Penyaluran bansos untuk masyarakat yg terkena dampak covid-19 https://t.co/6XuQyIv9Kv',1395167311816839170,DanantaPratiwi,0,Twitter for Android,0,[]
2021-05-19 23:59:33,"b'RT @cholilnafis: Klo Palestina bukan urusan kita, lalu yg mana yg urusan kita?\n\nMari kita urus juga soal korupsi Bansos yg triliunan itu. J\xe2\x80\xa6'",1395167271425695747,fajar_achadi,85,Twitter for Android,1,[]
2021-05-19 23:59:21,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395167221106630656,ross_show,778,Twitter for Android,1,[]
2021-05-19 23:59:15,"b'RT @soeyoto1: Enak bener mereka mem-bagi2kan duit KORUPSI BANSOS,\nkonon Menteri yg juga Kader Partai yg berkuasa ini terlahir dari keluarga\xe2\x80\xa6'",1395167195760500738,fasta_konsultan,328,Twitter Web App,1,[]
2021-05-19 23:58:49,"b'RT @cholilnafis: Klo Palestina bukan urusan kita, lalu yg mana yg urusan kita?\n\nMari kita urus juga soal korupsi Bansos yg triliunan itu. J\xe2\x80\xa6'",1395167089241976833,didik_dsp,85,Twitter for Android,1,[]
2021-05-19 23:58:37,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395167037467496448,sandythoel,778,Twitter for Android,1,[]
2021-05-19 23:58:29,b'@kurawa Tinggal buktikan ucapan dia kalau memang benar ada Korupsi Bansos yg sangat besar. Jika tidak benar. Ini orang patut dipertanyakan kredibilitasnya',1395167003959128066,Wawan_74,0,Twitter for Android,0,[]
2021-05-19 23:58:23,b'RT @kurawa: Ini kesimpulan gue :\n\n1. Gue mengutuk keras korupsi Bansos semoga gak selamat dunia akhirat.\n2. Novel sdh offside dia sbg penyi\xe2\x80\xa6',1395166980848558080,aboyheri,778,Twitter for Android,1,[]
