Tanggal,Tweet,Sentiment,Screen Name,Source,Hashtags
05/05/2021 00:00,halah kaget alat test manipulas bansos korupsi  harap perintah indonesia,0,akmal_wii,Twitter for Android,[]
05/05/2021 00:00,terang saksi dakwa  jabat kemensos ajak tim teknis bag bansos karaoke senayan hadiah k,0,radityapinaruh,Twitter for Android,[]
05/05/2021 00:01,hadap kpk meg korupsi  bansos ekspor benih lobstersamin taipan,0,Billi_Wijaya,Twitter for Android,[]
05/05/2021 00:01,tangan sidik nam edar med singkir kpk,0,warnapanci,Twitter for Android,[]
05/05/2021 00:01,usah sed paket bansos fiktif emang laku korupsi  bansos nyikat komisi,0,riskikky,Twitter for iPhone,[]
05/05/2021 00:02,sed barang bansos fiktif banget rakus harg di-mark up komis embat jahat,0,zakira_kiro,Twitter for Android,[]
05/05/2021 00:02,tangkap madam bansos savekpkbambang widjojanto indikas sdm kpk habis,0,Istiqom19235191,Twitter for Android,['SaveKPK']
05/05/2021 00:03,rangkum bantu cair me ayo past lumayan modal lebaran thr thr tunjanganhariray bantuantunai bantu bantuansosial bansos tukarpikiran,1,pikiran_tukar,Twitter Web App,"['THR', 'tunjanganhariraya', 'bantuantunai', 'bantuan', 'bantuansosial', 'bansos', 'tukarpikiran']"
05/05/2021 00:04,bacot doang bansos gmn harun masiku kabar otak pakai,0,AFaryz,Twitter for Android,[]
05/05/2021 00:05,korupsi  bansos tuh receh pemprov dk mat bagak liat,0,redywanjames,Twitter for Android,[]
05/05/2021 00:05,mahasiswa tagih janji kpk hukum mat koruptor bansos covid,0,YulisBudiasih,Twitter for Android,[]
05/05/2021 00:06,sidik bongkar korupsi  kakap spt e-ktp simulator sim ekspor benur jg bansos bs asn l,0,lebihpantas,Twitter for iPhone,[]
05/05/2021 00:06,banget lo bantu sosial bansos cair me ayo simak info tarik sayang banget leewatkan in bansos bantu bantuansosial tukarpikiran blt bltcair,1,pikiran_tukar,Twitter Web App,"['bansos', 'bantuan', 'bantuansosial', 'tukarpikiran', 'BLT', 'BLTcair']"
05/05/2021 00:08,rangkum bantu cair me ayo past lumayan,0,metamorfosa_co,Twitter for Android,[]
05/05/2021 00:08,banget lo bantu sosial bansos cair me ayo disi,1,metamorfosa_co,Twitter for Android,[]
05/05/2021 00:08,inul vist pake dan bansos,0,Febriandirfan,Twitter for iPhone,[]
05/05/2021 00:09,potens sdm kpk uj taruh nyaw utk berantas korupsi i,0,FahmiYusup10,Twitter for Android,[]
05/05/2021 00:10,klo pake data bilang ekonomi buruk do pilih paka tren baik jiahahahahahahah liha kang surpey nganggur bejibun pandem nakut bansos korup thr potong pake baik,0,FalsSuara,Twitter for Android,[]
05/05/2021 00:11,justeru halu radikalisme khilafah tutup fakt bahay korupsi  bansos e-ktp asabr jiwasraya korupsi  libat parta dukung jokowi,0,menakdobol,Twitter for Android,[]
