Tanggal;Screen Name;Source;Hashtags;Sentiment;Tweet
10/05/2021 04:02;kgmineuh;Twitter for Android;[];1;abis terim bansos
05/05/2021 07:15;kabarpolitik;WordPress.com;[];1;ace hasan perintah pasti dat gand penerimacbansos
05/05/2021 07:15;kabarpol;WordPress.com;[];1;ace hasan perintah pasti dat gand penerimacbansos
09/05/2021 08:50;Cilalalla;Twitter Web App;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 08:53;adhe188;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 08:55;shae_ll;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 08:59;OkyWandra;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 09:04;Andracadabra1;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 09:12;TjNf1710;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 09:16;Putra__Wajo;Twitter Web App;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 09:24;dhogasin;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 09:43;willona___;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 09:55;SultanNKRI_;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 09:58;Urrangawak;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 10:15;Alcy_One01;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 10:19;marv3llll;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 13:57;Valencia2107;Twitter for Android;[];1;ad bansos bantu covid tig milik etik lindung hukum dapa
09/05/2021 08:49;SimfoniTaksa;Twitter Web App;['uulindungipenanganancovid nanCovid'];1;ad bansos bantu covid tig milik etik lindung hukum dapat uulindungipenanganancovid nancovid
09/05/2021 08:09;Alcy_One01;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:09;RedBatafurai;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:10;vini_vidi_veci;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:10;Urrangawak;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:11;shae_ll;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:11;willona___;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:11;Andracadabra1;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:11;Juli_1Anderson;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:13;StatusKocakk;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:13;b33doel_;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:14;SimfoniTaksa;Twitter Web App;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
09/05/2021 08:19;me_zhu__Yusra;Twitter for Android;['uulindungipenanganancovid nanCovid'];1;ad bansos lindung hukum uulindungipenanganancovid nancovid
