Tanggal;Screen Name;Source;Hashtags;Sentiment;Tweet
05/05/2021 00:00;akmal_wii;Twitter for Android;[];0;halah kaget alat test manipulas bansos korupsi  harap perintah indonesia
05/05/2021 00:00;radityapinaruh;Twitter for Android;[];0;terang saksi dakwa  jabat kemensos ajak tim teknis bag bansos karaoke senayan hadiah k
05/05/2021 00:00;pirmann___;Twitter for Android;[];0;terang saksi dakwa  jabat kemensos ajak tim teknis bag bansos karaoke senayan hadiah k
05/05/2021 00:01;Billi_Wijaya;Twitter for Android;[];0;hadap kpk meg korupsi  bansos ekspor benih lobstersamin taipan
05/05/2021 00:01;AriefHi64201710;Twitter for Android;[];0;hadap kpk meg korupsi  bansos ekspor benih lobstersamin taipan
05/05/2021 00:01;warnapanci;Twitter for Android;[];0;tangan sidik nam edar med singkir kpk
05/05/2021 00:01;riskikky;Twitter for iPhone;[];0;usah sed paket bansos fiktif emang laku korupsi  bansos nyikat komisi
05/05/2021 00:02;sakabato9;Twitter for Android;[];0;hadap kpk meg korupsi  bansos ekspor benih lobstersamin taipan
05/05/2021 00:02;zakira_kiro;Twitter for Android;[];0;sed barang bansos fiktif banget rakus harg di-mark up komis embat jahat
05/05/2021 00:02;LawanHipokrit;Twitter for Android;[];0;tangan sidik nam edar med singkir kpk
05/05/2021 00:02;Istiqom19235191;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikas sdm kpk habis
05/05/2021 00:02;ToniBoster21;Twitter for Android;[];0;usah sed paket bansos fiktif emang laku korupsi  bansos nyikat komisi
05/05/2021 00:02;s2c3r;Twitter for Android;[];0;usah sed paket bansos fiktif emang laku korupsi  bansos nyikat komisi
05/05/2021 00:03;pikiran_tukar;Twitter Web App;['THR', 'tunjanganhariraya', 'bantuantunai', 'bantuan', 'bantuansosial', 'bansos', 'tukarpikiran'];1;rangkum bantu cair me ayo past lumayan modal lebaran thr thr tunjanganhariray bantuantunai bantu bantuansosial bansos tukarpikiran
05/05/2021 00:03;warnapanci;Twitter for Android;[];0;hadap kpk meg korupsi  bansos ekspor benih lobstersamin taipan
05/05/2021 00:03;R7ser;Twitter Web App;[];0;hadap kpk meg korupsi  bansos ekspor benih lobstersamin taipan
05/05/2021 00:03;Deteye8;Twitter for Android;[];0;usah sed paket bansos fiktif emang laku korupsi  bansos nyikat komisi
05/05/2021 00:04;AFaryz;Twitter for Android;[];0;bacot doang bansos gmn harun masiku kabar otak pakai
05/05/2021 00:05;tegaxdirimu;Twitter for Android;[];0;hadap kpk meg korupsi  bansos ekspor benih lobstersamin taipan
05/05/2021 00:05;redywanjames;Twitter for Android;[];0;korupsi  bansos tuh receh pemprov dk mat bagak liat
05/05/2021 00:05;YulisBudiasih;Twitter for Android;[];0;mahasiswa tagih janji kpk hukum mat koruptor bansos covid
05/05/2021 00:05;FalNdaru;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikas sdm kpk habis
05/05/2021 00:05;Hinatassya;Twitter for Android;[];0;usah sed paket bansos fiktif emang laku korupsi  bansos nyikat komisi
05/05/2021 00:06;pikiran_tukar;Twitter Web App;['bansos', 'bantuan', 'bantuansosial', 'tukarpikiran', 'BLT', 'BLTcair'];1;banget lo bantu sosial bansos cair me ayo simak info tarik sayang banget leewatkan in bansos bantu bantuansosial tukarpikiran blt bltcair
05/05/2021 00:06;lebihpantas;Twitter for iPhone;[];0;sidik bongkar korupsi  kakap spt e-ktp simulator sim ekspor benur jg bansos bs asn l
05/05/2021 00:06;Fery49857895;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikas sdm kpk habis
05/05/2021 00:06;haryazid;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikas sdm kpk habis
05/05/2021 00:07;gentanggentong2;Twitter for Android;[];0;hadap kpk meg korupsi  bansos ekspor benih lobstersamin taipan
05/05/2021 00:07;dindaeehh;Twitter for Android;[];0;usah sed paket bansos fiktif emang laku korupsi  bansos nyikat komisi
05/05/2021 00:08;metamorfosa_co;Twitter for Android;[];1;banget lo bantu sosial bansos cair me ayo disi
05/05/2021 00:08;Febriandirfan;Twitter for iPhone;[];0;inul vist pake dan bansos
05/05/2021 00:08;tocakempong;Twitter for Android;[];0;mahasiswa tagih janji kpk hukum mat koruptor bansos covid
05/05/2021 00:08;metamorfosa_co;Twitter for Android;[];0;rangkum bantu cair me ayo past lumayan
05/05/2021 00:08;goldenroses100;Twitter for iPhone;[];0;terang saksi dakwa  jabat kemensos ajak tim teknis bag bansos karaoke senayan hadiah k
05/05/2021 00:09;FahmiYusup10;Twitter for Android;[];0;potens sdm kpk uj taruh nyaw utk berantas korupsi i
05/05/2021 00:09;Husaini_Yusuff;Twitter for Android;[];0;tangan sidik nam edar med singkir kpk
05/05/2021 00:10;FalsSuara;Twitter for Android;[];0;klo pake data bilang ekonomi buruk do pilih paka tren baik jiahahahahahahah liha kang surpey nganggur bejibun pandem nakut bansos korup thr potong pake baik
05/05/2021 00:10;Binaone1;Twitter Web App;[];0;usah sed paket bansos fiktif emang laku korupsi  bansos nyikat komisi
