Tanggal,Screen Name,Source,Hashtags,Sentiment,Tweet
05/05/2021 00:00,akmal_wii,Twitter for Android,[],0,halah kaget alat test manipulasi bansos korupsi harap perintah indonesia
05/05/2021 00:00,radityapinaruh,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:00,pirmann___,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:01,Billi_Wijaya,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:01,AriefHi64201710,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:01,warnapanci,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:01,riskikky,Twitter for iPhone,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:02,sakabato9,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:02,Istiqom19235191,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:02,LawanHipokrit,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:02,zakira_kiro,Twitter for Android,[],0,sedia barang bansos fiktif banget rakus harga di-mark up komisi embat jahat
05/05/2021 00:02,ToniBoster21,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:02,s2c3r,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:03,warnapanci,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:03,Deteye8,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:03,pikiran_tukar,Twitter Web App,"['THR', 'tunjanganhariraya', 'bantuantunai', 'bantuan', 'bantuansosial', 'bansos', 'tukarpikiran']",1,rangkum bantu cair mei ayo pasti lumayan modal lebaran thr thr tunjanganhariraya bantuantunai bantu bantuansosial bansos tukarpikiran
05/05/2021 00:03,R7ser,Twitter Web App,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:04,AFaryz,Twitter for Android,[],0,bacot doang bansos gmn harun mas kabar otak pakai
05/05/2021 00:05,tegaxdirimu,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:05,FalNdaru,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:05,YulisBudiasih,Twitter for Android,[],0,mahasiswa tagih janji kpk hukum mati koruptor bansos covid
05/05/2021 00:05,Hinatassya,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:05,redywanjames,Twitter for Android,[],0,korupsi bansos tuh receh pemprov dki mata bagak liat
05/05/2021 00:06,Fery49857895,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:06,haryazid,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:06,lebihpantas,Twitter for iPhone,[],0,sidik bongkar korupsi kakap spt e-ktp simulator sim ekspor benur jg bansos bs asn l
05/05/2021 00:06,pikiran_tukar,Twitter Web App,"['bansos', 'bantuan', 'bantuansosial', 'tukarpikiran', 'BLT', 'BLTcair']",1,banget lo bantu sosial bansos cair mei ayo simak info tarik sayang banget leewatkan ini bansos bantu bantuansosial tukarpikiran blt bltcair
05/05/2021 00:07,gentanggentong2,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:07,dindaeehh,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:08,metamorfosa_co,Twitter for Android,[],0,rangkum bantu cair mei ayo pasti lumayan
05/05/2021 00:08,metamorfosa_co,Twitter for Android,[],1,banget lo bantu sosial bansos cair mei ayo disi
05/05/2021 00:08,Febriandirfan,Twitter for iPhone,[],0,inul vista pake dana bansos
05/05/2021 00:08,tocakempong,Twitter for Android,[],0,mahasiswa tagih janji kpk hukum mati koruptor bansos covid
05/05/2021 00:08,goldenroses100,Twitter for iPhone,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:09,FahmiYusup10,Twitter for Android,[],0,potensi sdm kpk uji taruh nyawa utk berantas korupsi
05/05/2021 00:09,Husaini_Yusuff,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:10,FalsSuara,Twitter for Android,[],0,klo pake data bilang ekonomi buruk doi pilih pakai tren baik jiahahahahahahaha lihai kang surpey nganggur bejibun pandemi nakuti bansos korup thr potong pake baik
05/05/2021 00:10,Binaone1,Twitter Web App,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:11,menakdobol,Twitter for Android,[],0,justeru halu radikalisme khilafah tutup fakta bahaya korupsi bansos e-ktp asabri jiwasraya korupsi libat partai dukung jokowi
05/05/2021 00:11,iluvatar188,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:11,follow_sahabat,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:12,Riooanfer,Twitter for Android,[],0,rangkum bantu cair mei ayo pasti lumayan
05/05/2021 00:12,azzahrah_maria,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:12,AdinaArjun,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:12,ArifulBahri,Twitter for iPhone,[],0,data ganda terima bansos juta ambil data kpu milu
05/05/2021 00:12,Riooanfer,Twitter for Android,[],1,banget lo bantu sosial bansos cair mei ayo disi
05/05/2021 00:13,JalakHa23534860,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:14,Adudu7231,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:14,baaangp,Twitter for Android,[],0,risma data ganda terima bansos bobrok kerja kader pdip juliari batubara salah er
05/05/2021 00:14,Cahyadi_refa,Twitter for Android,[],0,pdip partai raja korup madam bansos terus ideologi komunis ganti pancasila men
05/05/2021 00:15,putraaawcksn,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:16,rizal9973,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:16,Fery49857895,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:17,ShowMen05,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:17,1qbalbagas,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:17,rndaniah,Twitter for iPhone,[],0,sidik bongkar korupsi kakap spt e-ktp simulator sim ekspor benur jg bansos bs asn l
05/05/2021 00:17,kip13392274,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:18,Zack_1806,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:18,WandaAbdillah34,Twitter Web App,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:18,Cahyadi_refa,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:18,tHoNk1031,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:18,duduldulp,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:19,zaenal_mustofa_,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:19,fajarasn,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:19,UnsuperMenn,Twitter Web App,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:20,despu,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:20,syarifptk,Twitter for Android,[],0,temu data ganda terima bansos risma saran mundur mensos
05/05/2021 00:21,aldytris,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:22,Dodo02205610,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:22,keisukeabdul,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:22,azula_azulaKyu,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:23,bednboujee,Twitter Web App,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:23,efnita_herwit,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:25,Swarnad71915084,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:26,BagusGenjing16,Twitter for Android,[],0,formula e perkara angkat sprti hilang harun mas bansos mandeg namac hilang surat dakwa terang benerang
05/05/2021 00:26,uketri,Twitter for Android,[],0,a sidik senior tangan korupsi simulator sim bansos pd sidik korups
05/05/2021 00:26,maju_ahmad,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:26,ajenar,Twitter Web App,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:27,backPM_84,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:28,Indahny15692156,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:28,Swarnad71915084,Twitter for Android,[],0,sidik kpk kendali hukum berantas korupsi us
05/05/2021 00:29,suryobumi,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:29,HelfiaNilChalis,Twitter Web App,[],0,juta data ganda alokasi dana bansos juta data fiktif salur t
05/05/2021 00:30,SriAriawaty,Twitter Web App,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:30,nggapunyatujuan,Twitter Web App,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:31,Amanyfas,Twitter for iPhone,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:31,Adell1ne,Twitter for Android,[],0,tangan sidik nama edar media singkir kpk
05/05/2021 00:32,PradityaBeni,Twitter for Android,[],0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:32,prodygeer,Twitter Web App,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:33,rinokrismasurya,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:35,raannggaa69,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:35,bahrunikatur,Twitter Web App,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:35,kvnbonauli,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:36,siluthfi,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:37,laukdaun7,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:37,urraidan,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
