ID,Tweet,Sentiment
"1,39E+18",abai tolong up aja hutang biadab korupsi bansos kolonisasi aseng morowali,0.0
"1,39E+18",adek gw klo main petas kyk warga bansos anjirt berisik banget,0.0
"1,39E+18",aduh g banget yg madam bansos sih,0.0
"1,39E+18",aja buzzerp bipang ambawang main ginian korupsi kondensat t jiwasraya t asabri t bansos t mending loe urusin tuh,0.0
"1,39E+18",akal aja ajg ampe kiamat covid indonesia tuh gak ilang mudik disalahin alih isu korup dana bansos bom hukum mati tolak lupa,0.0
,akal an utk hambat lanjut korupsi bansos benur amp,0.0
"1,39E+18",al hasil korupsi bansos,0.0
"1,39E+18",alas bansos bentuk uang,0.0
"1,39E+18",alhamdulillah novel pecat kpk yg bersih politik tebang pilih harun mas madam bansos gak sentuh,0.0
"1,39E+18",aman jahat bansos ngabalin kritik tes pegawai kpk otak sungsang,0.0
,anak lurah amp,0.0
"1,39E+18",andai negara kelola dgn bansos korupsi tugas partai tikus honor aparat negara yg pakai halau uang nya pakai vaksin tes swab utk mudik uang thr gaji jabat pakai beli vaksin tes swab utk mudik,0.0
"1,39E+18",anggar kepake bansos,0.0
"1,39E+18",anggar wabup bojonegoro sidak bansos personil putus tular covid berita kini news beritajatim jatim,1.0
"1,39E+18",antri vaksinn antri bagi bansos ya ramenyaa fff,0.0
"1,39E+18",awas maling bansos,0.0
"1,39E+18",ayey bansos korup bantuin orang muncul kuping budek yak gabisa denger berita palestine team humas gimana sih mohon maaf lahir batin ya,0.0
"1,39E+18",bagus korupsi dana bansos pandemi hukum mati bohong politik hulum,0.0
"1,39E+18",baju lebaran beli kaosmasak opor kagak pake terasi eh denger-denger bansospas bagi tahu sisa hasil korupsi,0.0
"1,39E+18",balas dendam gegara bansos,0.0
"1,39E+18",bandara radin inten ii lampung sentuh masyarakat pegawai dampak pandemi bagi paket sembako bansos sosial pandemi lampung lampostco,1.0
"1,39E+18",bang kabar juta data ganda bansos,0.0
"1,39E+18",bani bipang ambawang otak nya gk mikir pling bnyak krup junjung lo tuh bansos aja hembat,0.0
"1,39E+18",bansos aja deh biadab menteri ngembat dana cilik mata presiden,0.0
"1,39E+18",bansos aja ditilep hmmm,0.0
"1,39E+18",bansos aja embat,0.0
"1,39E+18",bansos aja korup stalin hitler isis mudah menteri korupsi hilang bekas perintah,0.0
"1,39E+18",bansos aja korup wkwkmalu pimpin,0.0
"1,39E+18",bansos anjjj,0.0
"1,39E+18",bansos benur jalan nya bupati nganjuk biar gampang kondisi,0.0
"1,39E+18",bansos canda ya canda sos,0.0
"1,39E+18",bansos covid kota pasuruan cair rapel beritahariini beritapasuruan beritalumajang beritaprobolinggo infolumajang infoprobolinggo infopasuruan trendingtopic infoterkini info wartabromo,1.0
"1,39E+18",bansos dana covid diam,0.0
"1,39E+18",bansos daya ekonomi rakyat airlangga airlanggauntukrakyat,1.0
"1,39E+18",bansos kabar nyet kakak bina kabar nyet,0.0
"1,39E+18",bansos kabar sampe bansos embat bela pola pikir batas kolam haha e,0.0
"1,39E+18",bansos kemensos cair mei cek,1.0
"1,39E+18",bansos korupsi masif sektor gawang tangan berantas lemah,0.0
"1,39E+18",bansos korupsi rezim ampun dah,0.0
"1,39E+18",bansos langsung bukti hadir dukungkebaikanuntuknkri,1.0
"1,39E+18",bansos manfaat lebaran masyarakat terima silah,1.0
"1,39E+18",bansos nama ti,1.0
"1,39E+18",bansos nya doyan ga nurut atur perintah kontaminasi covidiot,0.0
"1,39E+18",bansos paketin blm besok lebaran,0.0
"1,39E+18",bansos perintah rp ribu cair lebaran hasil rapat menko pmk,1.0
"1,39E+18",bansos puluh miliar benur miliar ehhh dr koruptor bela koruptor drpd kpk,0.0
"1,39E+18",bansos tangan ungkap harap megakorupsi spt petral century gate dll bongkar,0.0
"1,39E+18",bansos tuh jaman pang bipang,0.0
"1,39E+18",bansos tutup ngak madam gawat non aktif data copy ngak ya ramai lho heheheheh,0.0
"1,39E+18",bansos wei uang orang miskin korupsi karaoke,0.0
"1,39E+18",bansos yg libat jabat anak jabat blum diapain,0.0
"1,39E+18",bau bansos copid korup lg,0.0
"1,39E+18",bawa bansos aja,1.0
"1,39E+18",bek nganti koyo antri bansos lek misalec,0.0
"1,39E+18",berani jujur pecatlong life madam bansos,0.0
"1,39E+18",beranijujurpecatmendukung pecat anggota kpk ganti personil yg bersih berani politik berani tangkap harun mas madam bansos,1.0
"1,39E+18",beri bansos langsung bukti hadir dukungkebaikanuntuknkri,1.0
"1,39E+18",beri bansos langsung bukti hadir negara masyarakat dukungkebaikanuntuknkri,1.0
"1,39E+18",beri bansos langsung bukti hadir negara tengah masyarakatdukungkebaikanuntuknkri,1.0
