Tanggal;Tweets;Sentiment;ID;Screen Name;Banyak Retweet;Source;Retweet Status;Hashtags;
10/05/2021 23:58;b'@liputan6dotcom Yg perlu di test ulang adl ketua KPK tak mampu nangkap Harun Masiku jg yg terlibat bansos';0;1,39E+18;Wiyanto79954068;0;Twitter for Android;0;[];
10/05/2021 23:58;b'RT @veaadeeana: Banyak pengalihan...akhirnya betul2 teralihkan,\n*Proses hukum pembantaian 6 laskar FPI di km 50.\n*Persidangan ib Hrs dkk.\n*\xe2\x80\xa6';;1,39E+18;antaz345;147;Twitter for Android;1;[];
10/05/2021 23:54;b'Pepen sempat menyebut bahwa pemotongan itu dilakukan atas inisiatif Adi Wahyono dan Matheus Joko Santoso. https://t.co/YaWwFPjKVn';0;1,39E+18;kompascom;2;dlvr.it;0;[];
10/05/2021 23:52;b'RT @RestyCayaaah: Trik ngeles jika ketauan  @KPK_RI .\n\nKemensos Kelebihan Bayar Vendor Bansos Rp 74 M, Baru Kembali Rp 5 M https://t.co/2xp\xe2\x80\xa6';;1,39E+18;VSIglory;237;Twitter for Android;1;[];
10/05/2021 23:51;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;;
10/05/2021 23:48;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;;
10/05/2021 23:48;b'RT @marzukialie_MA: @KPK_RI Maaf, klo anda KPK apa gak malu ott yang ecek2 begini? Kasih kewenangan @KejaksaanRI utk menyadap, hasil pasti\xe2\x80\xa6';;1,39E+18;PoenGam;22;Twitter for Android;1;[];
10/05/2021 23:48;b'Ternyata hukuman korupsi dana bansos ga main-main ya??\nKalo bisa lolos dari hukum di dunia, mereka tetep ga bisa lepas dari hukum Allah.\n\nAwal Ramadhan kena stroke, akhir  ramadhan dipanggil sama Allah.\nSemoga amal ibadahnya diterima dan semoga diampuni dosanya.';0;1,39E+18;caturatkls;0;Twitter for Android;0;[];
10/05/2021 23:48;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;;
10/05/2021 23:48;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;;
10/05/2021 23:47;b'RT @BudiSetyarso: Para penyidik yg membongkar kasus korupsi kakap spt e-KTP, simulator SIM, ekspor benur, jg bansos tak bs jd ASN krn tdk l\xe2\x80\xa6';;1,39E+18;al_jepp17;3382;Twitter for Android;1;[];
10/05/2021 23:46;"b'RT @merdekadotcom: Beres-Beres Data Ganda Bansos: ""21 juta itu basisnya apa? Itu yang belum tahu dan Bu Risma belum menyampaikan itu ke pub\xe2\x80\xa6'";;1,39E+18;1hsan;6;Twitter for Android;1;[];
10/05/2021 23:46;b'RT @asuhan_nemesis: Ngeri kali kelen woy. \n\nhttps://t.co/xlVxgiPH2k';;1,39E+18;perangutan_;4;Twitter for iPhone;1;[];
10/05/2021 23:45;b'Pasar rame bgt kek lagi pembagian bansos';;1,39E+18;mavlanaaa;0;Twitter for Android;0;[];
10/05/2021 23:45;b'Sambut lebaran Kpk dengan ott dan sebagian pesta bansos, belum.lagi warna china berbondong2 rekreasi dengan maksud yang sama sekali tidak dimengerti,zaman covid membanjiri negeri ini, more complex and very wonderful my lovely country...';0;1,39E+18;Mukhlis23422576;0;Twitter for Android;0;[];
10/05/2021 23:44;b'@IND_MAJU @Japs187 @KPK_RI empat lawang usut tuntas bansos dana desa audit';1;1,39E+18;MarianaratuAdil;0;Twitter for Android;0;[];
