Tanggal;Tweets;ID;Screen Name;Banyak Retweet;Source;Retweet Status;Hashtags
11/05/2021 23:59;b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6';1,39E+18;Zering15;277;Twitter for Android;1;[]
11/05/2021 23:55;b'RT @twitpos: Madam Bansos kemana rimbanya, apakah ikut lenyap seperti Harun Masiku ?';1,39E+18;VSIglory;4;Twitter for Android;1;[]
11/05/2021 23:53;b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6';1,39E+18;reviel08;277;Twitter for iPhone;1;[]
11/05/2021 23:52;b'RT @twitpos: Madam Bansos kemana rimbanya, apakah ikut lenyap seperti Harun Masiku ?';1,39E+18;Pujianto73;4;Twitter Web App;1;[]
11/05/2021 23:52;b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6';1,39E+18;MusonnifZ;277;Twitter for Android;1;[]
11/05/2021 23:50;b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6';1,39E+18;tatargaluh77;277;Twitter for iPhone;1;[]
11/05/2021 23:49;b'RT @twitpos: Madam Bansos kemana rimbanya, apakah ikut lenyap seperti Harun Masiku ?';1,39E+18;HJupriyadi;4;Twitter for Android;1;[]
11/05/2021 23:46;b'@BinsarNixon__ @KPK_RI bobroknya madam bansos dan anggota partai banteng kok diem2 aja....bangke lu..dasar bipang';1,39E+18;alin_raihani;0;Twitter Web App;0;[]
11/05/2021 23:45;b'Madam Bansos kemana rimbanya, apakah ikut lenyap seperti Harun Masiku ?';1,39E+18;twitpos;4;Twitter for Android;0;[]
11/05/2021 23:45;b'RT @ErSat_Arema: Apakah pejabat2 pernah mikirin yg beginian?\nBansos aja malah dikorup. https://t.co/JvSAgofHQE';1,39E+18;sonsih56;6;Twitter Web App;1;[]
11/05/2021 23:44;b'@TeddyGusnaidi @KPK_RI Preeet aaaah. Orang awam juga paham kok. Ada konspirasi besar penguasa untuk melanggengkan dan melenggangkan korupsi teman sejawat dan kerabat...\nCoba gue tanya, sudah sampai mana proses korupsi bansos?';1,39E+18;ABUZHARIIF;0;Twitter for Android;0;[]
11/05/2021 23:40;b'@PutraWadapi @suka_tx Sprti ada skenario tekanan dari partai didukung taipan9naga dlm kasus Korupsi Bansos......';1,39E+18;rekhmankhl;0;Twitter for Android;0;[]
11/05/2021 23:40;b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6';1,39E+18;nya_banyak;277;Twitter for Android;1;[]
11/05/2021 23:40;b'Yg pokok lewat boro2 thr lewat semua.besok lah lebaran.habis uang di kas kementrian keuangan utk bansos semua yg mengeluarkan keringat tdk kebagian lgi.kasihan yg tdk ada pemasukan lain selain mengandalkan gaji.mau nomboki apa yg mau ditomboki';1,39E+18;haikalputrii;0;Twitter for Android;0;[]
11/05/2021 23:39;b'@pikijul33 @yogaofficial @ganjarpranowo Saya setuju.Bahkan di tempat saya untuk bansos dana desa tidak diberikan ke rakyat secara full malah dipotong 50% tanpa konfirmasi yang jelas. Sehingga terkesan ada pencurian data, inkonsistensi data, dan inkonsistensi keputusan.';1,39E+18;aw_tragedi;0;Twitter for Android;0;[]
11/05/2021 23:39;b'@febridiansyah @girisuprapdiono 75 orang tsb pegang kasus mega korupsi: bansos, e ktp, ekspor benur dll. Dilumpuhkan dengan test wawasan kebangsatan yg soalnya sontoloyo ! Siapa sih yg bikin soal koplak begini ?\n\nBuzzer otak dikit mana mikirin, yg penting cair. \n\nhttps://t.co/MiQ8cCrMou';1,39E+18;MensosJ;0;Twitter for Android;0;[]
11/05/2021 23:39;b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6';1,39E+18;anumadatea;277;Twitter for iPhone;1;[]
