Tanggal;Tweets;Sentiment;ID;Screen Name;Banyak Retweet;Source;Retweet Status;Hashtags
12/05/2021 23:45;b'RT @KataBewe: PEMBUSUKAN di KPK makin DEGIL &amp;;;;;;;
12/05/2021 23:33;b'@nadrpalupi @vdandre3 @AyamJuntay @Corona_KafirNw @RachlanNashidik Lebih baik darimana coba, cuman urusan nerusin pembangunan mah, planga plongo juga bisa, gampang ngusut kasus besar? Status quo udah berubah, tapi kasus macem BLBI/Century Gate apa kabar? Pret kasus bansos masih berjalan, bahkan belom inkracht \xf0\x9f\xa4\xa3';;1,39E+18;daveastrawinata;0;Twitter for Android;0;[]
12/05/2021 23:33;b'@NOTASLIMBOY kembalikan dana bansos baru dimaafkan segala dosonya mis mic';;1,39E+18;Hendr12976979;0;Twitter for Android;0;[]
12/05/2021 23:30;b'RT @Djoked2: Jokowi laknatullah disebut dalam sidang korupsi bansos.';;1,39E+18;sastromenggolo;28;Twitter for Android;1;[]
12/05/2021 23:21;b'Pemberian Bansos secara langsung jadi bukti kehadiran\n\n #DukungKebaikanUntukNKRI https://t.co/PjUpMbB0BR';;1,39E+18;meymey3434;0;Twitter for iPhone;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:19;b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6';;1,39E+18;Mysoul03559460;137;Twitter for Android;1;[]
12/05/2021 23:19;b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6';;1,39E+18;JinkimPk;137;Twitter Web App;1;[]
12/05/2021 23:18;b'Pemberian BANSOS secara langsung jadi bukti kehadiran negara di tengah masyarakat \n#DukungKebaikanUntukNKRI https://t.co/zGuKaGOIlD';;1,39E+18;RespatiRinjani;0;Twitter for Android;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:09;b'Pemberian Bansos Secara Langsung Jadi Bukti Kehadiran. #DukungKebaikanUntukNKRI https://t.co/GurE8zkrG1';;1,39E+18;Jeja12427180;0;Twitter for Android;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:07;b'Pemberian Bansos Secara Langsung Jadi Bukti Kehadiran. \n#DukungKebaikanUntukNKRI https://t.co/rBQipVCeJw';;1,39E+18;dirgantarpa;0;Twitter for Android;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:02;b'Pemberian bansos secara langsung jadi bukti kehadiran\n\n#DukungKebaikanUntukNKRI\n#DukungKebaikanUntukNKRI https://t.co/xJAEv3IVp0';;1,39E+18;Mentari82762944;0;Twitter for Android;0;['DukungKebaikanUntukNKRI', 'DukungKebaikanUntukNKRI']
12/05/2021 23:02;b'Pemberian bansos secara langsung jadi bukti kehadiran\n\n#DukungKebaikanUntukNKRI\n#DukungKebaikanUntukNKRI https://t.co/hJEzeBUyVQ';;1,39E+18;nkri_lentera;0;Twitter for Android;0;['DukungKebaikanUntukNKRI', 'DukungKebaikanUntukNKRI']
12/05/2021 23:02;b'Pemberian bansos secara langsung jadi bukti kehadiran\n.\n.\n.\n#DukungKebaikanUntukNKRI https://t.co/2kjcDlTmLV';;1,39E+18;mafiapolitik1;0;Twitter for Android;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:01;b'pemberian bansos secara langsung menjadi bukti kehadiran negara ditengah rakyat\n#DukungKebaikanUntukNKRI https://t.co/vf2tWp3pvy';;1,39E+18;aleekassi;0;Twitter for Android;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:00;b'pemberian bansos secara langsung jadi bukti kehadiran  #DukungKebaikanUntukNKRI https://t.co/SAeMXtItwp';;1,39E+18;bbygurly01;0;Twitter for Android;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:00;b'pemberian bansos secara langsung bagi korban bencana di Solok oleh Mensos Risma menjadi bukti kehadiran negara di tengah masyarakat #DukungKebaikanUntukNKRI https://t.co/bMC445ehcS';;1,39E+18;yeanasss1;0;Twitter for iPhone;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:00;b'pemberian bansos secara langsung menjadi bukti kehadiran. #DukungKebaikanUntukNKRI https://t.co/IhGASPoFdE';;1,39E+18;cubitnich;0;Twitter for Android;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:00;b'Bansos langsung diberikan untuk bukti kehadiran.\n#DukungKebaikanUntukNKRI https://t.co/SzMf2yN9zN';;1,39E+18;Mukhlas74679335;0;Twitter Web App;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:00;b'Dengan pemberian bansos secara langsung ini bisa menjadi bukti kehadiran  #DukungKebaikanUntukNKRI https://t.co/Q753FA7luY';;1,39E+18;Sarahsnack1;0;Twitter Web App;0;['DukungKebaikanUntukNKRI']
12/05/2021 23:00;b'Pemberian bansos secara langsung jadi bukti kehadiran\n\n#DukungKebaikanUntukNKRI https://t.co/954sv5UAQD';;1,39E+18;Gunawan2818;0;Twitter Web App;0;['DukungKebaikanUntukNKRI']
