Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;;;;;
"2021-05-12 23:45:09,""b'RT @KataBewe: PEMBUSUKAN di KPK makin DEGIL &amp";" BENGIS. Insan terbaik di KPK tengah DISINGKIRKAN. Mereka yg terbukti menegakkan marwah KPK,\xe2\x80\xa6'"",1392626934551441408,MadameLou2,1744,Twitter for Android,1,[]";;;;;;
"2021-05-12 23:33:58,""b'@nadrpalupi @vdandre3 @AyamJuntay @Corona_KafirNw @RachlanNashidik Lebih baik darimana coba, cuman urusan nerusin pembangunan mah, planga plongo juga bisa, gampang ngusut kasus besar? Status quo udah berubah, tapi kasus macem BLBI/Century Gate apa kabar? Pret kasus bansos masih berjalan, bahkan belom inkracht \xf0\x9f\xa4\xa3'"",1392624117979914244,daveastrawinata,0,Twitter for Android,0,[]";;;;;;;
2021-05-12 23:33:02,b'@NOTASLIMBOY kembalikan dana bansos baru dimaafkan segala dosonya mis mic',1392623884671717382,Hendr12976979,0,Twitter for Android,0,[];;;;;;;
2021-05-12 23:30:06,b'RT @Djoked2: Jokowi laknatullah disebut dalam sidang korupsi bansos.',1392623147921207296,sastromenggolo,28,Twitter for Android,1,[];;;;;;;
2021-05-12 23:21:53,b'Pemberian Bansos secara langsung jadi bukti kehadiran\n\n #DukungKebaikanUntukNKRI https://t.co/PjUpMbB0BR',1392621078342619137,meymey3434,0,Twitter for iPhone,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:19:46,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392620545812750341,Mysoul03559460,137,Twitter for Android,1,[];;;;;;;
2021-05-12 23:19:10,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392620395472191488,JinkimPk,137,Twitter Web App,1,[];;;;;;;
2021-05-12 23:18:11,b'Pemberian BANSOS secara langsung jadi bukti kehadiran negara di tengah masyarakat \n#DukungKebaikanUntukNKRI https://t.co/zGuKaGOIlD',1392620146301173763,RespatiRinjani,0,Twitter for Android,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:09:51,b'Pemberian Bansos Secara Langsung Jadi Bukti Kehadiran. #DukungKebaikanUntukNKRI https://t.co/GurE8zkrG1',1392618048842915843,Jeja12427180,0,Twitter for Android,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:07:08,b'Pemberian Bansos Secara Langsung Jadi Bukti Kehadiran. \n#DukungKebaikanUntukNKRI https://t.co/rBQipVCeJw',1392617364827426818,dirgantarpa,0,Twitter for Android,0,['DukungKebaikanUntukNKRI'];;;;;;;
"2021-05-12 23:02:56,b'Pemberian bansos secara langsung jadi bukti kehadiran\n\n#DukungKebaikanUntukNKRI\n#DukungKebaikanUntukNKRI https://t.co/xJAEv3IVp0',1392616309641203712,Mentari82762944,0,Twitter for Android,0,""['DukungKebaikanUntukNKRI', 'DukungKebaikanUntukNKRI']""";;;;;;;
"2021-05-12 23:02:35,b'Pemberian bansos secara langsung jadi bukti kehadiran\n\n#DukungKebaikanUntukNKRI\n#DukungKebaikanUntukNKRI https://t.co/hJEzeBUyVQ',1392616222059941889,nkri_lentera,0,Twitter for Android,0,""['DukungKebaikanUntukNKRI', 'DukungKebaikanUntukNKRI']""";;;;;;;
2021-05-12 23:02:25,b'Pemberian bansos secara langsung jadi bukti kehadiran\n.\n.\n.\n#DukungKebaikanUntukNKRI https://t.co/2kjcDlTmLV',1392616179689132034,mafiapolitik1,0,Twitter for Android,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:01:10,b'pemberian bansos secara langsung menjadi bukti kehadiran negara ditengah rakyat\n#DukungKebaikanUntukNKRI https://t.co/vf2tWp3pvy',1392615863388311554,aleekassi,0,Twitter for Android,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:55,b'pemberian bansos secara langsung jadi bukti kehadiran  #DukungKebaikanUntukNKRI https://t.co/SAeMXtItwp',1392615800486326272,bbygurly01,0,Twitter for Android,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:25,b'pemberian bansos secara langsung bagi korban bencana di Solok oleh Mensos Risma menjadi bukti kehadiran negara di tengah masyarakat #DukungKebaikanUntukNKRI https://t.co/bMC445ehcS',1392615677115002880,yeanasss1,0,Twitter for iPhone,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:18,b'pemberian bansos secara langsung menjadi bukti kehadiran. #DukungKebaikanUntukNKRI https://t.co/IhGASPoFdE',1392615647259947009,cubitnich,0,Twitter for Android,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:02,b'Bansos langsung diberikan untuk bukti kehadiran.\n#DukungKebaikanUntukNKRI https://t.co/SzMf2yN9zN',1392615578741903360,Mukhlas74679335,0,Twitter Web App,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:01,b'Dengan pemberian bansos secara langsung ini bisa menjadi bukti kehadiran  #DukungKebaikanUntukNKRI https://t.co/Q753FA7luY',1392615576930070529,Sarahsnack1,0,Twitter Web App,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:01,b'Pemberian bansos secara langsung jadi bukti kehadiran\n\n#DukungKebaikanUntukNKRI https://t.co/954sv5UAQD',1392615575847903236,Gunawan2818,0,Twitter Web App,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:01,b'Pemberian bansos secara langsung jadi bukti kehadiran #DukungKebaikanUntukNKRI https://t.co/aINrylBdha',1392615575449268227,totebagjingga,0,Twitter Web App,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:00,b'Pemberian bansos secara langsung jadi bukti kehadiran\n#DukungKebaikanUntukNKRI https://t.co/HL7byshVpg',1392615572240846848,Jossynat0,0,Twitter Web App,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:00,b'Pemberian Bansos secara langsung akan menjadi bukti kehadiran negara ditengah masyarakat\n#DukungKebaikanUntukNKRI https://t.co/HKe8ldIl2g',1392615572060340228,Vikavik81617927,0,Twitter Web App,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 23:00:00,b'Pemberian bansos secara langsung jadi bukti kehadiran #DukungKebaikanUntukNKRI https://t.co/Nc72tKreMC',1392615571745775619,Bunga0205,0,Twitter Web App,0,['DukungKebaikanUntukNKRI'];;;;;;;
2021-05-12 22:53:52,b'@CNNIndonesia Setan2 korupsi bansos malah dikasih perlindungan',1392614026786471936,Perfect_Laster,0,Twitter Web App,0,[];;;;;;;
2021-05-12 22:51:10,b'Nyata akhirnya Janji Pak @jokowi penguatan ??? Berani tangkap Madam Bansos n Koruptor PECAT.\n#BeraniJujurPecat \n\nAlangkah Lucunya negeri ini. https://t.co/MNhzfbgtdI',1392613348152254465,simobawa,0,Twitter for Android,0,['BeraniJujurPecat'];;;;;;;
2021-05-12 22:46:58,b'@CNNIndonesia Insentif nakes susah tapi dana bansos berlimpah ruah buat.......',1392612290671697920,alfa_zem,0,Twitter for Android,0,[];;;;;;;
