Tanggal;Tweets;Sentiment;ID;Screen Name;Banyak Retweet;Source;Retweet Status;Hashtags;
05/05/2021 23:59;b'RT @PutraWadapi: Risma ungkap Data Ganda Penerima Bansos yg merupakan  Bobroknya Kinerja kader PDIP  Juliari Batubara tapi yg disalahkan er\xe2\x80\xa6';;1,39E+18;hendri_hero;996;Twitter for Android;1;[];
05/05/2021 23:59;b'RT @RicKY_KCh: uang bansos rakyat miskin dipakai untuk kemewahan, ini sangat menyakitkan bagi rakyat\n\nhttps://t.co/cwO9Li327M';;1,39E+18;SARJANAPUTRA12;34;Twitter for Android;1;[];
05/05/2021 23:57;b'RT @RamliRizal: Menurut Mbak Risma ke KPK, data 21 juta penerima Bansos bodong atau fiktif. Ternyata perusahaan2 penyalur Bansos juga banya\xe2\x80\xa6';;1,39E+18;RamdhaniBrutus;489;Twitter for Android;1;[];
05/05/2021 23:56;b'RT @BudiSetyarso: Para penyidik yg membongkar kasus korupsi kakap spt e-KTP, simulator SIM, ekspor benur, jg bansos tak bs jd ASN krn tdk l\xe2\x80\xa6';;1,39E+18;rangginaaang;3332;Twitter for Android;1;[];
05/05/2021 23:55;b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6';;1,39E+18;hdriannur;1730;Twitter for Android;1;[];
05/05/2021 23:55;b'@prisma93246654 Ya buktikan donk dg prestasi jangan omdo...gmna tindak lanjutannya dg Masiku Jiwasraya Asabri Bansos Benur dll kalo anda emank merasa jauh lebih hebat dari pak Novel dll yg anda nyatakan ga lulus';0;1,39E+18;Rasidah96278226;0;Twitter Web App;0;[];
05/05/2021 23:51;b'Maling bansos masih juara. \nPantas kalo di sebut republik maling. https://t.co/8Z5dabVe2g';0;1,39E+18;decepticon073;0;Twitter Web App;0;[];
05/05/2021 23:51;b'RT @Ndons_Back: Weww \n\nUang Hasil Korupsi Bansos Covid Juga Dipakai Karaokean Tim di Kemensos - VICE https://t.co/5bKdKvGUhg';;1,39E+18;YusupMustopa7;266;Twitter for Android;1;[];
05/05/2021 23:51;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Bonarivo;587;Twitter for Android;1;[];
05/05/2021 23:49;b'RT @D3ffiM45rizal: Nasdem Yakin 21jt Data Bansos Ganda tjdi scr Sistemik krn angkany tdk sedikit. Kl kesalahan teknis 21rb, masuk akal. Tp\xe2\x80\xa6';;1,39E+18;03_malikha;27;Twitter for Android;1;[];
05/05/2021 23:49;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;EdiKeceput;587;Twitter for Android;1;[];
05/05/2021 23:48;b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6';;1,39E+18;Nawasyiahmed;1730;Twitter for Android;1;[];
05/05/2021 23:47;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;AmartaAniel;587;Twitter for Android;1;[];
05/05/2021 23:47;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;CuiLanS87037667;587;Twitter for Android;1;[];
05/05/2021 23:45;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;RonefZone;587;Twitter for Android;1;[];
05/05/2021 23:45;b'RT @Hedsbunnies: @infoJATIASIH Iya betul, ada yg sedikit ga biasa (kalau mau lebih teliti sedikit dgn keadaan sekitar...) Mudah2an keadaan\xe2\x80\xa6';;1,39E+18;infoJATIASIH;1;Twitter for Android;1;[];
05/05/2021 23:43;b'RT @RamliRizal: Menurut Mbak Risma ke KPK, data 21 juta penerima Bansos bodong atau fiktif. Ternyata perusahaan2 penyalur Bansos juga banya\xe2\x80\xa6';;1,39E+18;AloelAsheen;489;Twitter for Android;1;[];
05/05/2021 23:42;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Margono_eMGe;587;Twitter Web App;1;[];
05/05/2021 23:41;b'RT @temponewsroom: Karena korupsi bantuan sosial merupakan kejahatan level tertinggi, hukuman bagi pelakunya harus berlipat-lipat. Termasuk\xe2\x80\xa6';;1,39E+18;hasndepok;1347;Twitter for Android;1;[];
05/05/2021 23:41;b'@tvOneNews Kata anda yang independen... mantan menteri bansos kapan di eksekusi pak...janji anda lo...';0;1,39E+18;Satrianova7;0;Twitter for Android;0;[];
05/05/2021 23:40;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Hmmmm51853908;587;Twitter for Android;1;[];
05/05/2021 23:38;b'RT @alisyarief: Mensos Melaporkan ke KPK, ada 21 juta akun Penerima Bansos, ganda. Bila benar, maka Ini artinya, 21 juta x 300 ribu = 6,3 t\xe2\x80\xa6';;1,39E+18;Adidans_;576;Twitter for Android;1;[];
05/05/2021 23:37;b'RT @ronavioleta: Hanya 4 tahun penjara utk koruptor Bansos. \nAlamat hukuman buat juliari dan madam bansos pun rendah\n\njanji hukuman mati ba\xe2\x80\xa6';;1,39E+18;enrigo_mom;38;Twitter for Android;1;[];
05/05/2021 23:37;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;MamunMu98291791;587;Twitter for Android;1;[];
05/05/2021 23:36;b'RT @VICE_ID: Menurut keterangan saksi, terdakwa pejabat Kemensos mengajak tim teknis pembagian bansos karaokean di Senayan sebagai hadiah k\xe2\x80\xa6';;1,39E+18;Blindin86281646;1977;Twitter for Android;1;[];
05/05/2021 23:35;b'@geloraco Firli, lu mah nyari HM ga beres\xc2\xb2, kasus bansos pilih\xc2\xb2. Jago dan tega makan anak buah sendiri, biar dianggap kerja ya ?';0;1,39E+18;MensosJ;0;Twitter for Android;0;[];
05/05/2021 23:34;b'@Adhi_Beka2 @AS_Hariandja @LoveOfSpeechz @na_dirs Lah...kan sudah diurus malingnya Dirut pengadaan tanah DKI yang era sebelumnya juga ada masalah. Yang jelas ini yang dikeluarkan karena tes abal2 adalah yg megang kasus2 besar Bansos, Benur KKP, dll. Mau diganti yang kooperatif dan bisa diatur2 cincai... betul2 kebangsa...n \xf0\x9f\x98\x81\xf0\x9f\x98\x81';0;1,39E+18;SidikHalik;0;Twitter for Android;0;[];
05/05/2021 23:34;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Alfarouqi4;587;Twitter for Android;1;[];
05/05/2021 23:33;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;MFajriyansyah;587;Twitter for Android;1;[];
05/05/2021 23:32;"b'@OposisiCerdas Yang untung Mensos... \xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\nBanyak fee paketan bansos dan mark-up harga.. Kemensos layak bilang \'terima kasih Corona""... \xf0\x9f\x98\x81\xf0\x9f\xa4\xad'";0;1,39E+18;Jokichan2;0;Twitter for Android;0;[];
05/05/2021 23:32;b'@tempodotco hibah dari keuntungan proyek bansos ?';1;1,39E+18;liempaku;0;Twitter for Android;0;[];
05/05/2021 23:32;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;enrigo_mom;587;Twitter for Android;1;[];
05/05/2021 23:32;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;hadijayanegara;587;Twitter for Android;1;[];
05/05/2021 23:31;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;syeifm;587;Twitter for iPhone;1;[];
05/05/2021 23:30;b'RT @RicKY_KCh: uang bansos rakyat miskin dipakai untuk kemewahan, ini sangat menyakitkan bagi rakyat\n\nhttps://t.co/cwO9Li327M';;1,39E+18;rkusyanto;34;Twitter for Android;1;[];
05/05/2021 23:29;b'RT @03_malikha: Bohong bener...siapa yg hibah biaya pesawat Jet?? Lucu&amp;;;;;;;;
05/05/2021 23:26;b'RT @ronavioleta: Hanya 4 tahun penjara utk koruptor Bansos. \nAlamat hukuman buat juliari dan madam bansos pun rendah\n\njanji hukuman mati ba\xe2\x80\xa6';;1,39E+18;jumjumareka;38;Twitter for Android;1;[];
05/05/2021 23:26;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;chanel_pas;587;Twitter for Android;1;[];
05/05/2021 23:26;b'RT @Ndons_Back: Weww \n\nUang Hasil Korupsi Bansos Covid Juga Dipakai Karaokean Tim di Kemensos - VICE https://t.co/5bKdKvGUhg';;1,39E+18;cheepandha;266;Twitter for Android;1;[];
05/05/2021 23:24;b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6';;1,39E+18;nayu2728;1730;Twitter for Android;1;[];
05/05/2021 23:24;b'RT @BossTemlen: Salah satu kasus besar yang sedang dihadapi oleh KPK selain Mega Korupsi Bansos dan Ekspor Benih Lobster\n\nSamin Tan, Taipan\xe2\x80\xa6';;1,39E+18;ninizgeulis;467;Twitter for Android;1;[];
05/05/2021 23:23;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Sugengharisant1;587;Twitter for Android;1;[];
05/05/2021 23:22;b'RT @Ndons_Back: Weww \n\nUang Hasil Korupsi Bansos Covid Juga Dipakai Karaokean Tim di Kemensos - VICE https://t.co/5bKdKvGUhg';;1,39E+18;Hidayat08707156;266;Twitter for Android;1;[];
05/05/2021 23:20;b'@twitpos @is_pelssy Nyolong duit bansos, udah. Kekerasan pake double stick, udah. Aplg nih yg belom?';0;1,39E+18;agus_p;0;Twitter for Android;0;[];
05/05/2021 23:20;b'RT @andry19633: Rizal Ramli Meminta Ketua KPK Bongkar 21 Juta Data Ganda Penerima Bansos Dan Penyalur Abal-Abal https://t.co/VokhPbsjg7 @Ra\xe2\x80\xa6';;1,39E+18;Lizalarilari;21;Twitter for Android;1;[];
05/05/2021 23:17;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Alfito70427950;587;Twitter for Android;1;[];
05/05/2021 23:14;b'RT @BossTemlen: Salah satu kasus besar yang sedang dihadapi oleh KPK selain Mega Korupsi Bansos dan Ekspor Benih Lobster\n\nSamin Tan, Taipan\xe2\x80\xa6';;1,39E+18;setyobasuki16;467;Twitter Web App;1;[];
05/05/2021 23:13;b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6';;1,39E+18;aseppujisantoso;1730;Twitter for Android;1;[];
05/05/2021 23:12;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;masnurganteng;587;Twitter for iPhone;1;[];
05/05/2021 23:11;b'RT @dancersejati1: Uhuyyyyy . . Sudah banyak janji!\n\nSuku Anak Dalam Tagih Janji Risma Beri Bansos, PKS: Jangan Patahkan Hati Mereka! https\xe2\x80\xa6';;1,39E+18;LaisaAna1;22;Twitter for Android;1;[];
05/05/2021 23:10;b'RT @PutraWadapi: Risma ungkap Data Ganda Penerima Bansos yg merupakan  Bobroknya Kinerja kader PDIP  Juliari Batubara tapi yg disalahkan er\xe2\x80\xa6';;1,39E+18;bmujizat;996;Twitter for Android;1;[];
05/05/2021 23:09;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;NarangNarangi;587;Twitter for Android;1;[];
05/05/2021 23:07;b'RT @LiezaaHan: Urgensinya apa coba..? Mengapa seolah ada kesan ingin mengkotak-kotakkan anak bangsa?\n\nKenapa tidak singgung ttg pertumbuhan\xe2\x80\xa6';;1,39E+18;Esih07845362;5;Twitter for Android;1;[];
05/05/2021 23:07;b'RT @dancersejati1: Uhuyyyyy . . Sudah banyak janji!\n\nSuku Anak Dalam Tagih Janji Risma Beri Bansos, PKS: Jangan Patahkan Hati Mereka! https\xe2\x80\xa6';;1,39E+18;B_dzoel;22;Twitter for Android;1;[];
05/05/2021 23:06;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;abyalif74_noni;587;Twitter for Android;1;[];
05/05/2021 23:06;b'RT @RamliRizal: Menurut Mbak Risma ke KPK, data 21 juta penerima Bansos bodong atau fiktif. Ternyata perusahaan2 penyalur Bansos juga banya\xe2\x80\xa6';;1,39E+18;Resof85;489;Twitter for Android;1;[];
05/05/2021 23:06;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;hdsambodo;587;Twitter for Android;1;[];
05/05/2021 23:06;b'Bohong bener...siapa yg hibah biaya pesawat Jet?? Lucu&amp;;;;;;;;
05/05/2021 23:05;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;de2suka;587;Twitter for Android;1;[];
05/05/2021 23:05;b'RT @D3ffiM45rizal: Nasdem Yakin 21jt Data Bansos Ganda tjdi scr Sistemik krn angkany tdk sedikit. Kl kesalahan teknis 21rb, masuk akal. Tp\xe2\x80\xa6';;1,39E+18;gowryeee;27;Twitter for iPhone;1;[];
05/05/2021 23:04;b'@dr_tompi Itu yg percaya corona malah korupsi dana bansos, daur ulang alat swab \xf0\x9f\x99\x84\xf0\x9f\xa4\xad';0;1,39E+18;Yogesswarachan1;0;Twitter for Android;0;[];
05/05/2021 23:03;b'RT @dancersejati1: Uhuyyyyy . . Sudah banyak janji!\n\nSuku Anak Dalam Tagih Janji Risma Beri Bansos, PKS: Jangan Patahkan Hati Mereka! https\xe2\x80\xa6';;1,39E+18;hjkuncoro;22;Twitter for Android;1;[];
05/05/2021 23:02;b'RT @FPKSDPRRI: Temuan 21 Juta Data Ganda Penerima Bansos, Aleg PKS: DPR Akan Segera Panggil Menteri Sosial! https://t.co/vVf70mYmAw lewat @\xe2\x80\xa6';;1,39E+18;PKSLumajang;3;Twitter for Android;1;[];
05/05/2021 23:02;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;SopianRoheng;587;Twitter for Android;1;[];
05/05/2021 23:00;b'RT @BossTemlen: Salah satu kasus besar yang sedang dihadapi oleh KPK selain Mega Korupsi Bansos dan Ekspor Benih Lobster\n\nSamin Tan, Taipan\xe2\x80\xa6';;1,39E+18;Andini23456119;467;Twitter for Android;1;[];
05/05/2021 22:59;b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6';;1,39E+18;EffendieFathur;1730;Twitter for iPhone;1;[];
05/05/2021 22:57;b'RT @Ndons_Back: Weww \n\nUang Hasil Korupsi Bansos Covid Juga Dipakai Karaokean Tim di Kemensos - VICE https://t.co/5bKdKvGUhg';;1,39E+18;Jaidun02;266;Twitter Web App;1;[];
05/05/2021 22:57;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;TigerWo09746163;587;Twitter for Android;1;[];
05/05/2021 22:56;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;slamet72;587;Twitter Web App;1;[];
05/05/2021 22:55;b'RT @RicKY_KCh: uang bansos rakyat miskin dipakai untuk kemewahan, ini sangat menyakitkan bagi rakyat\n\nhttps://t.co/cwO9Li327M';;1,39E+18;callmerahmasaja;34;Twitter for Android;1;[];
05/05/2021 22:54;b'@schfess Terus dijawab katanya kalo tempat wisata ditutup mau gimana bayar pajak,, menurut kalian gimana? Mana baru bulan kemarin bupati disini ketauan korupsi uang bansos covid,,, sedih bangett';0;1,39E+18;strwboo;0;Twitter for Android;0;[];
05/05/2021 22:54;b'@SahabatSaber Mudah2an. Di daerah kmi jg da model kyk mas gibran..biar disapu bersih ni para pejabat kecil yg koruptor bansos dan pungli bantuan..\nYg urus umkm harus bayar 500rb dulu mas gibran baru di bantu urusannya \xf0\x9f\x98\x85\xf0\x9f\x98\x85';0;1,39E+18;Dindaalvary;0;Twitter for Android;0;[];
05/05/2021 22:54;b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6';;1,39E+18;ryandewata_;1730;Twitter for Android;1;[];
05/05/2021 22:54;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Jaidun02;587;Twitter Web App;1;[];
05/05/2021 22:54;b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6';;1,39E+18;pakDirman86;1730;Twitter Web App;1;[];
05/05/2021 22:53;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Rojalii_ab;587;Twitter for Android;1;[];
05/05/2021 22:52;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Mamahidah3;587;Twitter for Android;1;[];
05/05/2021 22:52;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;mrtaufik19;587;Twitter for iPad;1;[];
05/05/2021 22:51;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;RasyidAfasyi;587;Twitter for iPhone;1;[];
05/05/2021 22:51;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;AlKausar5;587;Twitter for Android;1;[];
05/05/2021 22:50;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;bkind2anothr;587;Twitter for Android;1;[];
05/05/2021 22:50;b'@PutraErlangga_ Watak komunis nya kental bangat ni kader partai korupsi bansos!!!';0;1,39E+18;Akrap214;1;Twitter for Android;0;[];
05/05/2021 22:49;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;HandrisonImelda;587;Twitter for Android;1;[];
05/05/2021 22:49;b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6';;1,39E+18;Akrap214;587;Twitter for Android;1;[];
