Tanggal;Tweets;ID;Screen Name;Banyak Retweet;Source;Retweet Status;Hashtags
08/05/2021 23:56;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;ratu12noer;215;Twitter Web App;1;[]
08/05/2021 23:55;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;Swarnad71915084;215;Twitter for Android;1;[]
08/05/2021 23:54;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;Adidans_;215;Twitter for Android;1;[]
08/05/2021 23:54;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;ahim_abah;215;Twitter for Android;1;[]
08/05/2021 23:54;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;DodiLatief;215;Twitter for Android;1;[]
08/05/2021 23:52;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;dendjupria;215;Twitter for Android;1;[]
08/05/2021 23:52;b'@GagalkanBuzzeRP @Pencerah__ @aniesbaswedan @basuki_btp Termasuk ni ya Drun ..,\n\nhttps://t.co/Oi0PlCpVAI';1,39118E+18;Jazz24632;0;Twitter for iPhone;0;[]
08/05/2021 23:50;b'@geloraco Yang korupsi bansos ya itu juga';1,39118E+18;mmmumuw;0;Twitter Web App;0;[]
08/05/2021 23:48;b'RT @ErickConstant14: @alisyarief Pengaburan, pembiasan, penyesatan untuk menarik simpati Non-Muslim. Sy yg Non-Muslim aja geram dan marah l\xe2\x80\xa6';1,39118E+18;luhung72274343;9;Twitter for Android;1;[]
08/05/2021 23:45;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;Handoyo_NP_06;215;Twitter Web App;1;[]
08/05/2021 23:44;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;ArsenioRadmilo;215;Twitter Web App;1;[]
08/05/2021 23:44;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;Muslim_AntiPKI;215;Twitter for Android;1;[]
08/05/2021 23:42;b'@tamaitoeipoell @FiersaBesari Kan gk punya duit gimana sih, hutang dah 6400T bentar lg PPN naik jd 15%, insentif nakes aja gk dibayar apalagi duit buat nganter, bansos masih dikorupsi pula\xf0\x9f\xa4\xa3\n\nYg anggaran nya naik ya cuma buat aparat2, narasi2 radikul+teloris jadi2an bikin cepet cair';1,39118E+18;kulit_kwaci;0;Twitter for Android;0;[]
08/05/2021 23:42;b'RT @tempodotco: Anggota Komisi Hukum DPR dari Fraksi Partai Demokrat menduga penyidik KPK yang menyidik kasus korupsi bantuan sosial atau b\xe2\x80\xa6';1,39118E+18;WardiSyamsi;512;Twitter for Android;1;[]
08/05/2021 23:41;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39118E+18;EagleReaper01;215;Twitter for Android;1;[]
08/05/2021 23:39;b'RT @ErickConstant14: @alisyarief Pengaburan, pembiasan, penyesatan untuk menarik simpati Non-Muslim. Sy yg Non-Muslim aja geram dan marah l\xe2\x80\xa6';1,39118E+18;LkmnOkterman;9;Twitter for Android;1;[]
08/05/2021 23:36;b'@Bang_Tuhasan Biasa  hibah bansos\xf0\x9f\x98\x9d';1,39118E+18;Geelysp;0;Twitter for Android;0;[]
08/05/2021 23:34;b'@eko_kuntadhi Yang ada juga PKI ( partai kumpulan iblis ) ciri2 nya merasa paling bener sendiri, anggota nya suka ngerampok duit rakyat dari segala sumber bahkan bansos buat rakyat kecil juga di rampok mau bukti apalagi bong .?';1,39117E+18;muhamaddaudabd3;0;Twitter for Android;0;[]
08/05/2021 23:34;b'RT @ErickConstant14: @alisyarief Pengaburan, pembiasan, penyesatan untuk menarik simpati Non-Muslim. Sy yg Non-Muslim aja geram dan marah l\xe2\x80\xa6';1,39117E+18;RieGucciano;9;Twitter for Android;1;[]
08/05/2021 23:33;b'Cek Penerima Bansos PKH dan BPNT, Akses Link https://t.co/FQMdLhnspx, Ini Panduannya\n \nhttps://t.co/ITSnfhWCxP lewat @tribunnews';1,39117E+18;Khairul46373843;0;Twitter for Android;0;[]
08/05/2021 23:32;b'RT @Muslim_AntiPKI: @republikaonline BERSAMA MEMATIKAN MIC\n\nBERSAMA KORUPSI\n\nBERSAMA TIKUS BANSOS\n\nBERSAMA HARUN MESIKU\n\nBERSAMA MEMERAS PA\xe2\x80\xa6';1,39117E+18;yuesefa;5;Twitter for Android;1;[]
08/05/2021 23:29;b'RT @Muslim_AntiPKI: @republikaonline BERSAMA MEMATIKAN MIC\n\nBERSAMA KORUPSI\n\nBERSAMA TIKUS BANSOS\n\nBERSAMA HARUN MESIKU\n\nBERSAMA MEMERAS PA\xe2\x80\xa6';1,39117E+18;elhami41939391;5;Twitter for iPhone;1;[]
08/05/2021 23:29;b'Banjingan2 kumpul... https://t.co/KnNFAizew5';1,39117E+18;emzearfn;0;Twitter for Android;0;[]
08/05/2021 23:26;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39117E+18;KurniaChen;215;Twitter for Android;1;[]
08/05/2021 23:26;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39117E+18;Udingaok81;215;Twitter for Android;1;[]
08/05/2021 23:22;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39117E+18;ajenar;215;Twitter Web App;1;[]
08/05/2021 23:21;b'@alisyarief Pengaburan, pembiasan, penyesatan untuk menarik simpati Non-Muslim. Sy yg Non-Muslim aja geram dan marah liat (pidato) itu, Pak. Sulit utk menumpulkan logika bahwa (pidato) itu cari muka &amp;;;;;;
08/05/2021 23:21;b'@republikaonline BERSAMA MEMATIKAN MIC\n\nBERSAMA KORUPSI\n\nBERSAMA TIKUS BANSOS\n\nBERSAMA HARUN MESIKU\n\nBERSAMA MEMERAS PANCASILA\n\n#PresidenHobiBipang \n#PresidenHobiBipang';1,39117E+18;Muslim_AntiPKI;5;Twitter for Android;0;['PresidenHobiBipang', 'PresidenHobiBipang']
08/05/2021 23:19;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39117E+18;IT19S20;215;Twitter for Android;1;[]
08/05/2021 23:19;b'REKENING NAMA FIKTIF BANSOS PKH 21.156.000 TABUNGAN BRI DARI TAHUN 2017#2021 SEBESAR 542 TRILIUN BISA BIKIN TOL ACEH SAMPE LAMPUNG PLUS JEMBATAN SELAT SUNDA@ TARIF NYA BISA MURAH/SEMBAKO MURAH# PENGGERAK EKONOMI HIDUP$$ https://t.co/LAycJCELyw';1,39117E+18;H4P5i;0;Twitter Web App;0;[]
08/05/2021 23:17;b'RT @elisa_jkt: Bansos ditilep. \nInsentif nakes ditunda2. \n\nTapi pajak mobil tertentu tetap 0 dong. \nDan jangan lupa wisata ....';1,39117E+18;wpp_17;337;Twitter Web App;1;[]
08/05/2021 23:16;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39117E+18;ayieyudhistira;215;Twitter for Android;1;[]
08/05/2021 23:16;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39117E+18;mustangidahumi1;215;Twitter for Android;1;[]
08/05/2021 23:16;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39117E+18;PandirKelana13;215;Twitter for Android;1;[]
08/05/2021 23:14;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39117E+18;BabangBachri;215;Twitter for Android;1;[]
08/05/2021 23:14;"b'RT @_Tarida_Indah_: Partai Lain Mana Suaranya !!\nMendukung KPK Di Bungkam ??\n\nFraksi Partai Demokrat Benny K. Harman :\n""Ada upaya menggerga\xe2\x80\xa6'";1,39117E+18;Kumis20191;10;Twitter for Android;1;[]
08/05/2021 23:13;b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6';1,39117E+18;msaid_didu;215;Twitter for Android;1;[]
08/05/2021 23:12;b'RT @gadisresidu_b3: 4.Padahal kan lagi marak yang namanya Bansos dari Pemerintah, kok anak anak ini gak kebagian.\n\nBantu SHARE sampai tembu\xe2\x80\xa6';1,39117E+18;abi_sasaLL;22;Twitter for Android;1;[]
08/05/2021 23:11;b'@Exc_Herdys @eko_kuntadhi belum tau kau di sini ada partai kumpulan garong.... bansos pun diembat!';1,39117E+18;saudagarovi;0;Twitter Web App;0;[]
08/05/2021 23:06;b'@UyokBack Mereka nggak tau alasannya kenapa babi tu nggak boleh dimakan, sedangkan dhab boleh ... karena dalil dalam agama Islam ... babi haram, dhab halal walaupun Rasulullah kurang menyukainya ...\nNamun utk cebong dungu ... semuanya halal ... korupsi dana bansos, recehan dari memfitnah';1,39117E+18;GarundangGadang;0;Twitter for Android;0;[]
08/05/2021 23:04;b'@andikabina @KompasTV @msaid_didu Biar madam bansos sm ank pk lurah g diusut';1,39117E+18;cibel_tompelan;0;Twitter for Android;0;[]
08/05/2021 22:53;b'RT @faridwadjdi: Dikira tausiyahnya tentang tanggung jawab penguasa mengurus rakyat dengan baik, larangan mendzolimi dan menindas rakyat, h\xe2\x80\xa6';1,39116E+18;FatTitik;63;Twitter for Android;1;[]
08/05/2021 22:49;b'RT @faridwadjdi: Dikira tausiyahnya tentang tanggung jawab penguasa mengurus rakyat dengan baik, larangan mendzolimi dan menindas rakyat, h\xe2\x80\xa6';1,39116E+18;MIsmail00954575;63;Twitter for Android;1;[]
08/05/2021 22:48;b'RT @pinterpolitik: Ada yang bilang ini berhubungan dengan kasus bansos. Beneran nggak sih? #politik #pinterpolitik #infografis \nhttps://t.c\xe2\x80\xa6';1,39116E+18;alanesia;1;Twitter for Android;1;['politik', 'pinterpolitik', 'infografis']
08/05/2021 22:44;b'RT @BennyHarmanID: Ini yang Dilaporkan Risma ke KPK,21 juta data ganda penerima Bansos. Jika laporan Risma betul, KPK harus kuat dan tegar.\xe2\x80\xa6';1,39116E+18;WinarniBudi;1215;Twitter for Android;1;[]
08/05/2021 22:41;b'Yg jelasx Bipang Terpleset/di plesetkan akhirx Sukses Laku keras Hingga kabar gembira Dari KaPaK Buat para garong  bgitupun Cicilan Utang menggunung terlupakan yaa ?!\n*Kira2 kasus duit bansos hingga semua BUMN yg duitx di jarah apa berakhir kyk kasus EKTP yaa *balikin duit ?!';1,39116E+18;mathsoul1;0;Twitter for Android;0;[]
08/05/2021 22:40;b'RT @SaveMoslem1: Terbongkar\xe2\x9d\x97 Modus untuk menyelamatkan PDIP maling dana bansos :\xf0\x9f\x91\x87\n\n\xf0\x9f\x93\x8c Terungkap\xe2\x9d\x97 Demokrat Duga Penyidik KPK di Kasus Bansos\xe2\x80\xa6';1,39116E+18;Kumis20191;15;Twitter for Android;1;[]
