Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;
"2021-05-08 23:56:24,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391180215481556993,ratu12noer,215,Twitter Web App,1,[]";
"2021-05-08 23:55:09,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391179897775611904,Swarnad71915084,215,Twitter for Android,1,[]";
"2021-05-08 23:54:57,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391179849834721280,Adidans_,215,Twitter for Android,1,[]";
"2021-05-08 23:54:53,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391179832122216449,ahim_abah,215,Twitter for Android,1,[]";
"2021-05-08 23:54:52,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391179827604905990,DodiLatief,215,Twitter for Android,1,[]";
"2021-05-08 23:52:23,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391179203840659456,dendjupria,215,Twitter for Android,1,[]";
"2021-05-08 23:52:13,""b'@GagalkanBuzzeRP @Pencerah__ @aniesbaswedan @basuki_btp Termasuk ni ya Drun ..,\n\nhttps://t.co/Oi0PlCpVAI'"",1391179159909502977,Jazz24632,0,Twitter for iPhone,0,[]";
2021-05-08 23:50:44,b'@geloraco Yang korupsi bansos ya itu juga',1391178787228819456,mmmumuw,0,Twitter Web App,0,[];
"2021-05-08 23:48:36,""b'RT @ErickConstant14: @alisyarief Pengaburan, pembiasan, penyesatan untuk menarik simpati Non-Muslim. Sy yg Non-Muslim aja geram dan marah l\xe2\x80\xa6'"",1391178251377135616,luhung72274343,9,Twitter for Android,1,[]";
"2021-05-08 23:45:31,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391177476047474689,Handoyo_NP_06,215,Twitter Web App,1,[]";
