Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-05 00:00:10,b'@txtdrpemerintah Halah ga kaget . Alat test aja di manipulasi bansos di korupsi mau berharap apa sama pemerintah Indonesia ?',1389731610094829573,akmal_wii,0,Twitter for Android,0,[]
2021-05-05 00:00:14,"b'RT @VICE_ID: Menurut keterangan saksi, terdakwa pejabat Kemensos mengajak tim teknis pembagian bansos karaokean di Senayan sebagai hadiah k\xe2\x80\xa6'",1389731625609568259,pirmann___,1977,Twitter for Android,1,[]
2021-05-05 00:01:07,b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6',1389731850457804801,riskikky,1730,Twitter for iPhone,1,[]
2021-05-05 00:01:15,b'RT @febridiansyah: Ada kasus2 besar yg skrg sdg ditangani sjumlah Penyidik yg namanya beredar di media akan disingkirkan dr KPK. Sebut saja\xe2\x80\xa6',1389731884117106693,warnapanci,442,Twitter for Android,1,[]
2021-05-05 00:01:18,"b'RT @BossTemlen: Salah satu kasus besar yang sedang dihadapi oleh KPK selain Mega Korupsi Bansos dan Ekspor Benih Lobster\n\nSamin Tan, Taipan\xe2\x80\xa6'",1389731897308172288,AriefHi64201710,467,Twitter for Android,1,[]
2021-05-05 00:02:25,"b'RT @IpungLombok: Penyedia barang Bansos ternyata FIKTIF. Keterlaluan banget rakusnya. \nHarga di-mark up, komisi diembat. Ini kejahatan luar\xe2\x80\xa6'",1389732177667969026,zakira_kiro,7,Twitter for Android,1,[]
2021-05-05 00:02:53,b'RT @conan_idn: Tangkap segera Madam Bansos. #SaveKPK\n\nBambang Widjojanto: Ada Indikasi SDM KPK Mulai Dihabisi https://t.co/9YzfgUt1ma',1389732294198403073,Istiqom19235191,231,Twitter for Android,1,['SaveKPK']
2021-05-05 00:03:28,b'Berikut ini sudah kami rangkum bantuan yang cair Mei 2021. Ayo segera pastikan kamu termasuk di antaranya. Lumayan loh bisa buat modal lebaran dan jadi semacam THR bukan?\n#THR #tunjanganhariraya #bantuantunai #bantuan #bantuansosial #bansos #tukarpikiran\nhttps://t.co/nWkTLWUmx4',1389732439082160129,pikiran_tukar,4,Twitter Web App,0,"['THR', 'tunjanganhariraya', 'bantuantunai', 'bantuan', 'bantuansosial', 'bansos', 'tukarpikiran']"
2021-05-05 00:04:11,b'@AndiChTh @PartaiSocmed Dan anda itu cuma bisa bacot doang..\nBansos gmn?? Harun masiku apa kabar??\nOtak pakailah walau sedikit yg kau punya',1389732622520049665,AFaryz,0,Twitter for Android,0,[]
2021-05-05 00:05:07,"b'RT @riensayangku: @KataBewe Korupsi bansos tuh recehan, pemprov DKI yg yg ada depan mata anda belagak ga liat, pak ??'",1389732856017002500,redywanjames,11,Twitter for Android,1,[]
2021-05-05 00:05:23,b'RT @geloraco: Mahasiswa Tagih Janji KPK Hukum Mati Koruptor Bansos Covid-19\nhttps://t.co/LBofuCuzZ1',1389732921343287296,YulisBudiasih,716,Twitter for Android,1,[]
2021-05-05 00:06:35,"b'RT @BudiSetyarso: Para penyidik yg membongkar kasus korupsi kakap spt e-KTP, simulator SIM, ekspor benur, jg bansos tak bs jd ASN krn tdk l\xe2\x80\xa6'",1389733223991676930,lebihpantas,3332,Twitter for iPhone,1,[]
2021-05-05 00:06:36,"b'Rupanya, banyak banget lo bantuan sosial (bansos) yang cair bulan Mei ini. Kira-kira apa saja ya? Ayo langsung saja disimak info menarik dan penting yang sayang banget untuk kamu leewatkan ini.\n#bansos #bantuan #bantuansosial #tukarpikiran #BLT #BLTcair\nhttps://t.co/24kHT8xoz8'",1389733230962638848,pikiran_tukar,4,Twitter Web App,0,"['bansos', 'bantuan', 'bantuansosial', 'tukarpikiran', 'BLT', 'BLTcair']"
2021-05-05 00:08:20,b'Masa ke inul vista aja pake dana bansos https://t.co/3I7sCr4Dil',1389733665257574400,Febriandirfan,0,Twitter for iPhone,0,[]
2021-05-05 00:08:56,"b'RT @pikiran_tukar: Rupanya, banyak banget lo bantuan sosial (bansos) yang cair bulan Mei ini. Kira-kira apa saja ya? Ayo langsung saja disi\xe2\x80\xa6'",1389733814880985089,metamorfosa_co,4,Twitter for Android,1,[]
2021-05-05 00:08:59,b'RT @pikiran_tukar: Berikut ini sudah kami rangkum bantuan yang cair Mei 2021. Ayo segera pastikan kamu termasuk di antaranya. Lumayan loh b\xe2\x80\xa6',1389733830265774082,metamorfosa_co,4,Twitter for Android,1,[]
2021-05-05 00:09:40,"b'RT @MardaniAliSera: Jika hal ini benar, jelas ada potensi SDM KPK yg sudah teruji dan mempertaruhkan nyawanya utk memberantas korupsi mulai\xe2\x80\xa6'",1389734001481371654,FahmiYusup10,79,Twitter for Android,1,[]
2021-05-05 00:10:46,"b'@rmol_id Klo pake data dia aja bisa juga bilang ekonomi masih buruk, tapi doi pilih pakai kata tren membaik..\nJiahahahahahahaha..\nLihai betul ini kang surpey @RamliRizal\n\nYg nganggur bejibun, pandemi masih nakut2i, bansos dikorup, THR kepotong, pake kata membaik ?\nhttps://t.co/bnhNX9I2Tu'",1389734275914760192,FalsSuara,0,Twitter for Android,0,[]
2021-05-05 00:11:49,b'@EniendahS @Dennysiregar7 Justeru halu radikalisme dan khilafah untuk menutupi fakta akan bahaya korupsi bansos. E-KTP. Asabri jiwasraya dan korupsi besar yg melibatkan partai besar pendukung jokowi',1389734541070266369,menakdobol,0,Twitter for Android,0,[]
2021-05-05 00:12:50,b'RT @abu_waras: Bukankah Data Ganda Penerima Bansos yang sampai 21 Juta itu diambil dari Data KPU yang sebelumnya digunakan di Pemilu 2019 ?\xe2\x80\xa6',1389734798998966273,ArifulBahri,82,Twitter for iPhone,1,[]
2021-05-05 00:14:20,"b'RT @totosalehl: @bachrum_achmadi @BangGodham PDIP partai raja korup, madam bansos ,penerus ideologi komunis,yg ingin ganti Pancasila,yg men\xe2\x80\xa6'",1389735174695391232,Cahyadi_refa,1,Twitter for Android,1,[]
2021-05-05 00:14:21,b'RT @PutraWadapi: Risma ungkap Data Ganda Penerima Bansos yg merupakan  Bobroknya Kinerja kader PDIP  Juliari Batubara tapi yg disalahkan er\xe2\x80\xa6',1389735180890382336,baaangp,996,Twitter for Android,1,[]
2021-05-05 00:20:02,"b'RT @geloraco: Soal Temuan 21 Data Ganda Penerima Bansos, Risma Disarankan Mundur Dari Mensos\nhttps://t.co/16dx3gUWfj'",1389736610866995200,syarifptk,78,Twitter for Android,1,[]
2021-05-05 00:26:43,"b'@Kapalolu @istiraahat @DzakwanFirst @febridiansyah @PartaiSocmed Formula E kan ga jelas apa yg akan diperkarakan, angkat kasus yg jelas aja sprti hilangnya Harun Masiku, kasus bansos yg mandeg, ada nama\xc2\xb2 yg hilang dari surat dakwaan, yg itu udah jelas dan terang benerang'",1389738292308942849,BagusGenjing16,0,Twitter for Android,0,[]
2021-05-05 00:26:50,"b'RT @BudiSetyarso: A, seorang penyidik senior. Menangani kasus korupsi simulator SIM hingga bansos 2020. Pd 2012 ketika ikut menyidik korups\xe2\x80\xa6'",1389738319232200704,uketri,197,Twitter for Android,1,[]
2021-05-05 00:28:30,b'RT @HukumDan: Para penyidik KPK yang hampir pasti tidak lagi berada di bawah kendali Hukum pemberantasan Korupsi. \nKasus apa yang mereka us\xe2\x80\xa6',1389738740428337152,Swarnad71915084,68,Twitter for Android,1,[]
2021-05-05 00:29:50,"b'21 juta data ganda artinya ada alokasi dana bansos untuk 21 juta data fiktif. Tiga kali penyaluran berarti 31,5 T. https://t.co/shRivkIBqC https://t.co/O3lRQ7qGCW'",1389739075624587270,HelfiaNilChalis,0,Twitter Web App,0,[]
2021-05-05 00:42:00,b'@kismin666oys Orng yg korupsi bansos',1389742137411969025,UncleUcok,0,Twitter for iPhone,0,[]
2021-05-05 00:45:39,b'RT @conan_idn: wah.. Madam Bansos bisa kabur niih\xf0\x9f\x98\xb2\n\nPenyidik KPK yang Diduga akan Dipecat Tangani Kasus Korupsi Kakap https://t.co/hATIPX6R\xe2\x80\xa6',1389743056992104451,SriAriawaty,61,Twitter Web App,1,[]
2021-05-05 00:47:30,b'Tes wawasan kebangsaan.\nKorupsi bansos saat pandemi\nA. Memuaskan Pejabat\nB. Memeras Rakyat',1389743520798298115,agusmalik_siak,0,Twitter for Android,0,[]
2021-05-05 00:47:43,"b'RT @KataBewe: Kau diduga SINGKIRKAN Para Insan Terbaik KPK yg tengah menangani kasus MEGA KORUPSI di bumi pertiwi, spt Bansos. Tapi, kau bi\xe2\x80\xa6'",1389743577803083776,i_dzaqi,79,Twitter for Android,1,[]
2021-05-05 00:54:31,"b'@pratasena @febridiansyah Buram aja ente masih enak hidup disini, vaksin gratis, dapet bansos ye nga ye nga \xf0\x9f\x98\x8e'",1389745289137770498,matamera2,0,Twitter for Android,0,[]
2021-05-05 00:54:34,b'RT @theo___eee: @ilhamkhoiri Orang freelancing dikira pesugihan babi ngepet dsb\nCewek diperkosa cowok yang disalahin ceweknya\nKorupsi uang\xe2\x80\xa6',1389745302245036035,fourtuness,1,Twitter for Android,1,[]
2021-05-05 00:55:40,"b'@ulil Kader partai Ngembat duit bansos itu apa itu sesuai kaidah agama? Apa itu sesuai pancasila?\nImpor beras, garam, dll saat petani padi &amp; garam panen itu apa sesuai pancasila?\nApa penegakkan hukum thd pelanggaran prokes sdh berkeadilan sosial? Di saat HRS dibui yg lain bebas'",1389745578117001221,ImanTangankanan,0,Twitter for iPhone,0,[]
2021-05-05 00:55:42,"b'RT @hipohan: Kutipan \n\nICW : Ketidakmauan boyong Harun Masiku ke proses hukum, hilangkan nama-nama politisi dlm dakwaan korupsi bansos, lin\xe2\x80\xa6'",1389745587721883649,ridhorahadi,60,Twitter for Android,1,[]
2021-05-05 00:57:59,"b'@kangpree Madame Bansos siapa, Pak? Jgn2 boss pimpinan kepala banteng yaaa??'",1389746160353517571,santymarlim21,0,Twitter for Android,0,[]
2021-05-05 00:59:42,"b'RT @BennyHarmanID: Ini yang Dilaporkan Risma ke KPK,21 juta data penerima Bansos ganda. Ada yang bertanya apakah penanganan kasus ini di KP\xe2\x80\xa6'",1389746592341643268,Niawahdania667,248,Twitter for Android,1,[]
2021-05-05 01:01:27,"b'RT @bank_indonesia: Sementara itu, Menteri @KemenkeuRI, Sri Mulyani, menjelaskan pentingnya APBN. Anggaran pemulihan ekonomi nasional tahun\xe2\x80\xa6'",1389747030893887489,evikusss,9,Twitter for iPhone,1,[]
