Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
2021-05-05 23:59:57,b'RT @PutraWadapi: Risma ungkap Data Ganda Penerima Bansos yg merupakan  Bobroknya Kinerja kader PDIP  Juliari Batubara tapi yg disalahkan er\xe2\x80\xa6',1390093944155828224,hendri_hero,996,Twitter for Android,1,[]
2021-05-05 23:59:37,"b'RT @RicKY_KCh: uang bansos rakyat miskin dipakai untuk kemewahan, ini sangat menyakitkan bagi rakyat\n\nhttps://t.co/cwO9Li327M'",1390093858613075968,SARJANAPUTRA12,34,Twitter for Android,1,[]
2021-05-05 23:57:25,"b'RT @RamliRizal: Menurut Mbak Risma ke KPK, data 21 juta penerima Bansos bodong atau fiktif. Ternyata perusahaan2 penyalur Bansos juga banya\xe2\x80\xa6'",1390093305233297410,RamdhaniBrutus,489,Twitter for Android,1,[]
2021-05-05 23:56:28,"b'RT @BudiSetyarso: Para penyidik yg membongkar kasus korupsi kakap spt e-KTP, simulator SIM, ekspor benur, jg bansos tak bs jd ASN krn tdk l\xe2\x80\xa6'",1390093067097493504,rangginaaang,3332,Twitter for Android,1,[]
2021-05-05 23:55:57,b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6',1390092937736953860,hdriannur,1730,Twitter for Android,1,[]
2021-05-05 23:55:56,b'@prisma93246654 Ya buktikan donk dg prestasi jangan omdo...gmna tindak lanjutannya dg Masiku Jiwasraya Asabri Bansos Benur dll kalo anda emank merasa jauh lebih hebat dari pak Novel dll yg anda nyatakan ga lulus',1390092934737850370,Rasidah96278226,0,Twitter Web App,0,[]
2021-05-05 23:51:36,b'Maling bansos masih juara. \nPantas kalo di sebut republik maling. https://t.co/8Z5dabVe2g',1390091843862364160,decepticon073,0,Twitter Web App,0,[]
2021-05-05 23:51:31,b'RT @Ndons_Back: Weww \n\nUang Hasil Korupsi Bansos Covid Juga Dipakai Karaokean Tim di Kemensos - VICE https://t.co/5bKdKvGUhg',1390091820072259586,YusupMustopa7,266,Twitter for Android,1,[]
2021-05-05 23:51:08,b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6',1390091723485827074,Bonarivo,587,Twitter for Android,1,[]
2021-05-05 23:49:09,"b'RT @D3ffiM45rizal: Nasdem Yakin 21jt Data Bansos Ganda tjdi scr Sistemik krn angkany tdk sedikit. Kl kesalahan teknis 21rb, masuk akal. Tp\xe2\x80\xa6'",1390091225038868480,03_malikha,27,Twitter for Android,1,[]
2021-05-05 23:49:01,b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6',1390091191698395142,EdiKeceput,587,Twitter for Android,1,[]
2021-05-05 23:48:08,b'RT @panca66: Perusahaan penyedia paket bansos ternyata banyak fiktif. Keterlaluan emang pelaku korupsi bansos ini. Udah nyikat komisi dari\xe2\x80\xa6',1390090968452325378,Nawasyiahmed,1730,Twitter for Android,1,[]
2021-05-05 23:47:26,b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6',1390090795533754371,AmartaAniel,587,Twitter for Android,1,[]
2021-05-05 23:47:13,b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6',1390090738285776897,CuiLanS87037667,587,Twitter for Android,1,[]
2021-05-05 23:45:59,b'RT @PutraWadapi: Radikal untuk berantas korupsi itu jauh lebih baik daripada sok pancasilais tapi curi dana bansos dan sibuk bangun dinasti\xe2\x80\xa6',1390090427735314433,RonefZone,587,Twitter for Android,1,[]
2021-05-05 23:45:17,"b'RT @Hedsbunnies: @infoJATIASIH Iya betul, ada yg sedikit ga biasa (kalau mau lebih teliti sedikit dgn keadaan sekitar...) Mudah2an keadaan\xe2\x80\xa6'",1390090253604622341,infoJATIASIH,1,Twitter for Android,1,[]
