ID,Tweet
"1,39118E+18",abur bias sesat tarik simpati non-muslim sy yg non-muslim aja geram marah l xe x xa
,abur bias sesat tarik simpati non-muslim sy yg non-muslim aja geram marah liat pidato sulit utk tumpul logika pidato cari muka amp
"1,39103E+18",ada logistik bansos untung karaoke
"1,39092E+18",ah anjir w mikir nrupanya ribu dana bansos
"1,39106E+18",ah tetangga sial pake pindah samping rumah eneg banget tetangga ama orang suka pamer harta suka ngemis ngemis bansos
"1,39087E+18",aja anggota partai maling bansos
"1,39098E+18",aja bongkar bansos jahat ko bilang melempem bayangin aja kl ga bongkar pandemi yg jahat keruk untung derita masyarakat
"1,39093E+18",aja solusi beli beras aja susah belanja online wxwxwxwx orang kaya ndak terfikirkan rakyat bansos sampek warga tinggal anggar
"1,39103E+18",aktif liat bansos korupsi diem kpk kebiri diem
"1,39094E+18",akun akun yg gak aku jokowi presiden gilir bagi bansos antre xf xf x x xf xf x x
"1,39115E+18",alhamdulillah tau dapet bansos xf xf x xad xf xf x xf
"1,39108E+18",alih isu nkawal kpk bansos
"1,39084E+18",alir suap dana bansos foya gelontor ratus juta biduan dangdut
"1,39085E+18",alir suap dana bansos juliari batubara foya gelontor ratus juta biduan dangdut
"1,39089E+18",amanah uu nenek lu laksana tes bangsa tenggara masyarakat upaya tutup korupsi yg elit partai spt ekport benur korupsi bansos yg libat madam bansos periksa as wakil ketua mpr dsb
"1,39097E+18",ambil contoh nyata akun akun akun buzzerp teriak maling bansos hukum mati orang bodoh tau akun akun jilat cari makan dg modal gadai benar
"1,39098E+18",ambil contoh nyata akun akun akun buzzerp teriak maling bansos ka xe x xa
"1,39088E+18",anak cina anti bansos acab acab
"1,39112E+18",analogi giniin ajadeh biar paham rakyat mudik besar dana bansos covid yg korupsi
"1,39103E+18",ancur kali ekonomi jeblok pdhal utang gila tangan covid amburadul dana bansos embat menteri pilih ajaib yg ngotot jadiin presiden utk periode xf xf xa xa xf xf xa xa
"1,39118E+18",anggota komisi hukum dpr fraksi partai demokrat duga sidik kpk sidik korupsi bantu sosial b xe x xa
"1,39083E+18",anggota komisi hukum dpr fraksi partai demokrat duga sidik kpk sidik korupsi bantu sosial bansos covid henti tes wawas bangsa n n temponasional n
"1,39083E+18",anggota komisi hukum dpr fraksi partai demokrat duga sidik kpk sidik korupsi bantu sosial bansos covid henti tes wawas bangsa n n temponasional n madam bansos anak lurah selamat
"1,39103E+18",anggota komisi iii xe x xa xe x xa xe x xa xe x xa xe x xa xe x xa sidik kpk bansos incar twk nasional htt xe x xa
"1,39101E+18",asabrijiwasrayamasiku bpjsmadam bansosgoodiebag truk nyasarblbi ngilang mana
"1,39085E+18",asn thrnya potong bansos covid eh bansosnya korupsi
"1,39097E+18",azab korupsi bansos covid karaoke mati tel mic xf xf x x
"1,39087E+18",b bu tejo bu romlah bu tejo ribut ngomongin tetangga bu romlah ribut ngomongin bansos pkh bu romlah hidup udah cukup penasaran cerita yukkk simak film pendek komedi judul curhat bansos n
"1,39101E+18",b giat bagi bansos rw lurah pasirjati anak yatim serah bantu sembako warga isoman rt rw psg jum at berkah lpm pasirwangi bagi takjil n
"1,39085E+18",b lapor risma rizal ramli lengkap skenario ampo bansos hak orang miskin n ntapi skrg pegawai kpk integritas jerat twk xf xf xa xa xf xf xf xbb
"1,39108E+18",b rt lapor risma rizal ramli lengkap skenario ampo bansos hak orang miskin xe x xa
"1,39108E+18",b terang benderang nbansos bancak an kuasa n n nbeberapa pegawai kpk lolos twk tangan korupsi bansos kkp
"1,39098E+18",b tjakep xf xf x xf xf xf x xf sidik kpk yg gak lolos tes wawas bangsa hasil bongkar e-ktp simulator sim ekspor benur bansos kelas kentara pis eta per-ma-i-nan xf xf xa xa
"1,39094E+18",b yg gin yg foya pake uang korupsi abis capek bagiin bansos xf xf x xe xf xf x xe xf xf x xe xf xf x xe
,babi ngepet demen bipang dinyinyirin dgn munafik kaum berisik nyinyirin perintah tpi antri bansos nyinyirin hutang nikmat infrastruktur yg bangun atas nkonsumen bipang bahagia amp
"1,39084E+18",bagi adab tdk pandang pilih lempar ngaciro bansos
"1,39083E+18",bahagia maling dn calon maling bansos dn lobster xf xf x x
"1,39114E+18",bang bener bang novel dkk singkir gara bansos yg arah madam anak lurah
"1,39089E+18",banget muka bantal foto auto kaya terima bansos
"1,3911E+18",bani bipang lonte xf xf x xb xf xf x x xf xf x x xf xf x x n nlondo item koruptor bansos xf xf x x xf xf x x xf xf x x
