ID,Tweet
"1,3909E+18",
"1,39118E+18",abur bias sesat tarik simpati non-muslim sy yg non-muslim aja geram marah l
,abur bias sesat tarik simpati non-muslim sy yg non-muslim aja geram marah liat pidato sulit utk tumpul logika pidato cari muka
"1,39103E+18",ada logistik bansos untung karaoke
"1,39092E+18",ah anjir w mikir itu rupa ribu dana bansos
"1,39106E+18",ah tetangga sial pake pindah sing rumah eneg banget tetangga ama orang suka pamer harta suka ngemis ngemis bansos
"1,39084E+18",aja anggota partai maling bansos
"1,39098E+18",aja bongkar bansos jahat ko bilang melempem bayangin aja kl ga bongkar pandemi yg jahat keruk untung derita masyarakat
"1,39093E+18",aja solusi beli beras aja susah belanja online wxwxwxwx orang kaya ndak terfikirkan rakyat bansos sek warga tinggal anggar
"1,39103E+18",aktif liat bansos korupsi diem kpk kebiri diem
"1,39094E+18",akun akun yg gak aku jokowi presiden gilir bagi bansos antre
"1,39115E+18",alhamdulillah tau dapet bansos
"1,39108E+18",alih isukawal kpk bansos
"1,39084E+18",alir suap dana bansos foya gelontor ratus juta biduan dangdut
"1,39085E+18",alir suap dana bansos juliari batubara foya gelontor ratus juta biduan dangdut
"1,39089E+18",amanah uu nenek lu laksana tes bangsa tenggara masyarakat upaya tutup korupsi yg elit partai spt ekport benur korupsi bansos yg libat madam bansos periksa as wakil ketua mpr dsb
"1,39097E+18",ambil contoh nyata akun akun akun buzzerp teriak maling bansos hukum mati orang bodoh tau akun akun jilat cari makan dg modal gadai benar
"1,39098E+18",ambil contoh nyata akun akun akun buzzerp teriak maling bansos ka
"1,39088E+18",anak cina anti bansos acab acab
"1,39112E+18",analogi giniin ajadeh biar paham rakyat mudik besar dana bansos covid yg korupsi
"1,39103E+18",ancur kali ekonomi jeblok pdhal utang gila tangan covid amburadul dana bansos embat menteri pilih ajaib yg ngotot jadiin presiden utk periode
"1,39094E+18",anggota komisi hukum dpr fraksi partai demokrat duga sidik kpk sidik korupsi bantu sosial
"1,39083E+18",anggota komisi hukum dpr fraksi partai demokrat duga sidik kpk sidik korupsi bantu sosial bansos covid henti tes wawas bangsa temponasional
"1,39083E+18",anggota komisi hukum dpr fraksi partai demokrat duga sidik kpk sidik korupsi bantu sosial bansos covid henti tes wawas bangsa temponasional madam bansos anak lurah selamat
"1,39103E+18",anggota komisi iii sidik kpk bansos incar twk nasional htt
"1,39101E+18",asabri jiwasraya mas bpjs madam bansos goodiebag truk nyasar blbi ngilang mana
"1,39085E+18",asn thrnya potong bansos covid eh bansosnya korupsi
"1,39097E+18",azab korupsi bansos covid karaoke mati tel mic
,babi ngepet demen bipang dinyinyirin dgn munafik kaum berisik nyinyirin perintah tpi antri bansos nyinyirin hutang nikmat infrastruktur yg bangun atas konsumen bipang bahagia
"1,39084E+18",bagi adab tdk pandang pilih lempar ngaciro bansos
"1,39083E+18",bahagia maling dn calon maling bansos dn lobster
"1,39114E+18",bang bener bang novel dkk singkir gara bansos yg arah madam anak lurah
