Tanggal,Screen Name,Source,Hashtags,Sentiment,Tweet,prediction
2021-05-05 00:00:00,akmal_wii,Twitter for Android,[],0,halah ga kaget alat test aja manipulasi bansos korupsi harap perintah indonesia,0
2021-05-05 00:00:00,pirmann___,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k,0
2021-05-05 00:00:00,radityapinaruh,Twitter for Android,[],0,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k,0
2021-05-05 00:01:00,Billi_Wijaya,Twitter for Android,[],0,salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan,0
2021-05-05 00:01:00,AriefHi64201710,Twitter for Android,[],0,salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan,0
2021-05-05 00:01:00,riskikky,Twitter for iPhone,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi,0
2021-05-05 00:01:00,warnapanci,Twitter for Android,[],0,yg skrg sdg tangan sejumlah sidik yg nama edar media singkir dr kpk,0
2021-05-05 00:02:00,sakabato9,Twitter for Android,[],0,salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan,0
2021-05-05 00:02:00,zakira_kiro,Twitter for Android,[],0,sedia barang bansos fiktif banget rakus harga di-mark up komisi embat jahat,0
2021-05-05 00:02:00,Istiqom19235191,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis,0
2021-05-05 00:02:00,s2c3r,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi,0
2021-05-05 00:02:00,ToniBoster21,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi,0
2021-05-05 00:02:00,LawanHipokrit,Twitter for Android,[],0,yg skrg sdg tangan sejumlah sidik yg nama edar media singkir dr kpk,0
2021-05-05 00:03:00,pikiran_tukar,Twitter Web App,"['THR', 'tunjanganhariraya', 'bantuantunai', 'bantuan', 'bantuansosial', 'bansos', 'tukarpikiran']",1,rangkum bantu cair mei ayo pasti lumayan loh modal lebaran thr thr tunjanganhariraya bantuantunai bantu bantuansosial bansos tukarpikiran,1
2021-05-05 00:03:00,R7ser,Twitter Web App,[],0,salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan,0
2021-05-05 00:03:00,warnapanci,Twitter for Android,[],0,salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan,0
2021-05-05 00:03:00,Deteye8,Twitter for Android,[],0,usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi,0
2021-05-05 00:04:00,AFaryz,Twitter for Android,[],0,bacot doang bansos gmn harun mas kabar otak pakai yg kau,0
2021-05-05 00:05:00,redywanjames,Twitter for Android,[],0,korupsi bansos tuh receh pemprov dki yg yg mata bagak ga liat,0
2021-05-05 00:05:00,YulisBudiasih,Twitter for Android,[],0,mahasiswa tagih janji kpk hukum mati koruptor bansos covid,0
2021-05-05 00:05:00,tegaxdirimu,Twitter for Android,[],0,salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan,0
2021-05-05 00:05:00,FalNdaru,Twitter for Android,['SaveKPK'],0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis,0
