Tanggal;Screen Name;Source;Hashtags;Banyak Retweet;Dif;Sentiment;Tweet
05/05/2021 00:00;pirmann___;Twitter for Android;[];1977.0;5;1;terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k
05/05/2021 00:00;akmal_wii;Twitter for Android;[];0.0;5;0;halah kaget alat test manipulasi bansos korupsi harap perintah indonesia
05/05/2021 00:01;AriefHi64201710;Twitter for Android;[];467.0;5;0;hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan
05/05/2021 00:01;warnapanci;Twitter for Android;[];442.0;5;0;2 tangan sidik nama edar media singkir kpk
05/05/2021 00:01;riskikky;Twitter for iPhone;[];1730.0;5;0;usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi
05/05/2021 00:02;Istiqom19235191;Twitter for Android;['SaveKPK'];231.0;5;0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis
05/05/2021 00:02;zakira_kiro;Twitter for Android;[];7.0;5;0;sedia barang bansos fiktif banget rakus harga di-mark up komisi embat jahat
05/05/2021 00:03;pikiran_tukar;Twitter Web App;['THR', 'tunjanganhariraya', 'bantuantunai', 'bantuan', 'bantuansosial', 'bansos', 'tukarpikiran'];4.0;4;1;rangkum bantu cair mei 2021 ayo pasti lumayan modal lebaran thr thr tunjanganhariraya bantuantunai bantu bantuansosial bansos tukarpikiran
05/05/2021 00:04;AFaryz;Twitter for Android;[];0.0;5;0;bacot doang bansos gmn harun mas kabar otak pakai
05/05/2021 00:05;redywanjames;Twitter for Android;[];11.0;5;0;korupsi bansos tuh receh pemprov dki mata bagak liat
05/05/2021 00:05;YulisBudiasih;Twitter for Android;[];716.0;5;0;mahasiswa tagih janji kpk hukum mati koruptor bansos covid 19
05/05/2021 00:06;lebihpantas;Twitter for iPhone;[];3332.0;5;1;sidik bongkar korupsi kakap spt e-ktp simulator sim ekspor benur jg bansos bs asn krn tdk l
05/05/2021 00:06;pikiran_tukar;Twitter Web App;['bansos', 'bantuan', 'bantuansosial', 'tukarpikiran', 'BLT', 'BLTcair'];4.0;4;1;banget lo bantu sosial bansos cair mei ayo simak info tarik sayang banget leewatkan ini bansos bantu bantuansosial tukarpikiran blt bltcair
05/05/2021 00:08;metamorfosa_co;Twitter for Android;[];4.0;4;1;banget lo bantu sosial bansos cair mei ayo disi
05/05/2021 00:08;metamorfosa_co;Twitter for Android;[];4.0;4;1;rangkum bantu cair mei 2021 ayo pasti lumayan b
05/05/2021 00:08;Febriandirfan;Twitter for iPhone;[];0.0;5;0;inul vista pake dana bansos
05/05/2021 00:09;FahmiYusup10;Twitter for Android;[];79.0;5;0;potensi sdm kpk uji taruh nyawa utk berantas korupsi
05/05/2021 00:10;FalsSuara;Twitter for Android;[];0.0;5;0;klo pake data bilang ekonomi buruk doi pilih pakai tren baik jiahahahahahahaha lihai kang surpey nganggur bejibun pandemi nakut 2i bansos korup thr potong pake baik
