Tanggal,Screen Name,Source,Hashtags,Banyak Retweet,Dif,Sentiment,Tweet,prediction
05/05/2021 00:00,pirmann___,Twitter for Android,[],1977.0,5,1,terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k,1
05/05/2021 00:00,akmal_wii,Twitter for Android,[],0.0,5,0,halah kaget alat test manipulasi bansos korupsi harap perintah indonesia,0
05/05/2021 00:01,AriefHi64201710,Twitter for Android,[],467.0,5,0,hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan,0
05/05/2021 00:01,warnapanci,Twitter for Android,[],442.0,5,0,2 tangan sidik nama edar media singkir kpk,0
05/05/2021 00:01,riskikky,Twitter for iPhone,[],1730.0,5,0,usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi,0
05/05/2021 00:02,Istiqom19235191,Twitter for Android,['SaveKPK'],231.0,5,0,tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis,0
05/05/2021 00:02,zakira_kiro,Twitter for Android,[],7.0,5,0,sedia barang bansos fiktif banget rakus harga di-mark up komisi embat jahat,0
05/05/2021 00:03,pikiran_tukar,Twitter Web App,"['THR', 'tunjanganhariraya', 'bantuantunai', 'bantuan', 'bantuansosial', 'bansos', 'tukarpikiran']",4.0,4,1,rangkum bantu cair mei 2021 ayo pasti lumayan modal lebaran thr thr tunjanganhariraya bantuantunai bantu bantuansosial bansos tukarpikiran,1
05/05/2021 00:04,AFaryz,Twitter for Android,[],0.0,5,0,bacot doang bansos gmn harun mas kabar otak pakai,0
05/05/2021 00:05,redywanjames,Twitter for Android,[],11.0,5,0,korupsi bansos tuh receh pemprov dki mata bagak liat,0
05/05/2021 00:05,YulisBudiasih,Twitter for Android,[],716.0,5,0,mahasiswa tagih janji kpk hukum mati koruptor bansos covid 19,0
05/05/2021 00:06,lebihpantas,Twitter for iPhone,[],3332.0,5,1,sidik bongkar korupsi kakap spt e-ktp simulator sim ekspor benur jg bansos bs asn krn tdk l,1
05/05/2021 00:06,pikiran_tukar,Twitter Web App,"['bansos', 'bantuan', 'bantuansosial', 'tukarpikiran', 'BLT', 'BLTcair']",4.0,4,1,banget lo bantu sosial bansos cair mei ayo simak info tarik sayang banget leewatkan ini bansos bantu bantuansosial tukarpikiran blt bltcair,1
05/05/2021 00:08,metamorfosa_co,Twitter for Android,[],4.0,4,1,banget lo bantu sosial bansos cair mei ayo disi,1
05/05/2021 00:08,metamorfosa_co,Twitter for Android,[],4.0,4,1,rangkum bantu cair mei 2021 ayo pasti lumayan b,1
05/05/2021 00:08,Febriandirfan,Twitter for iPhone,[],0.0,5,0,inul vista pake dana bansos,0
05/05/2021 00:09,FahmiYusup10,Twitter for Android,[],79.0,5,0,potensi sdm kpk uji taruh nyawa utk berantas korupsi,0
05/05/2021 00:10,FalsSuara,Twitter for Android,[],0.0,5,0,klo pake data bilang ekonomi buruk doi pilih pakai tren baik jiahahahahahahaha lihai kang surpey nganggur bejibun pandemi nakut 2i bansos korup thr potong pake baik,0
05/05/2021 00:11,menakdobol,Twitter for Android,[],0.0,5,0,justeru halu radikalisme khilafah tutup fakta bahaya korupsi bansos e-ktp asabri jiwasraya korupsi libat partai dukung jokowi,0
05/05/2021 00:12,ArifulBahri,Twitter for iPhone,[],82.0,5,0,data ganda terima bansos 21 juta ambil data kpu milu 2019,0
05/05/2021 00:14,baaangp,Twitter for Android,[],996.0,5,0,risma data ganda terima bansos bobrok kerja kader pdip juliari batubara salah er,0
05/05/2021 00:14,Cahyadi_refa,Twitter for Android,[],1.0,5,0,pdip partai raja korup madam bansos terus ideologi komunis ganti pancasila men,0
05/05/2021 00:20,syarifptk,Twitter for Android,[],78.0,5,0,temu 21 data ganda terima bansos risma saran mundur mensos,0
05/05/2021 00:26,BagusGenjing16,Twitter for Android,[],0.0,5,0,formula e perkara angkat sprti hilang harun mas bansos mandeg nama hilang surat dakwa terang benerang,0
05/05/2021 00:26,uketri,Twitter for Android,[],197.0,5,0,a sidik senior tangan korupsi simulator sim bansos 2020 pd 2012 sidik korups,0
05/05/2021 00:28,Swarnad71915084,Twitter for Android,[],68.0,5,0,sidik kpk tidak kendali hukum berantas korupsi us,0
05/05/2021 00:29,HelfiaNilChalis,Twitter Web App,[],0.0,5,1,21 juta data ganda alokasi dana bansos 21 juta data fiktif salur 31 5 t,1
05/05/2021 00:42,UncleUcok,Twitter for iPhone,[],0.0,5,0,orng korupsi bansos,0
05/05/2021 00:45,SriAriawaty,Twitter Web App,[],0.0,5,0,madam bansos kabur niih  penyidik kpk duga pecat tangan korupsi kakap,0
05/05/2021 00:47,agusmalik_siak,Twitter for Android,[],0.0,5,0,tes wawas bangsa korupsi bansos pandemia muas pejabatb peras rakyat,0
05/05/2021 00:47,i_dzaqi,Twitter for Android,[],79.0,5,0,duga singkir insan baik kpk tangan mega korupsi bumi pertiwi spt bansos bi,0
05/05/2021 00:54,matamera2,Twitter for Android,[],0.0,5,0,buram ente enak hidup vaksin gratis dapet bansos ye nga ye nga,0
05/05/2021 00:54,fourtuness,Twitter for Android,[],1.0,5,0,freelancing sugih babi ngepet dsbcewek perkosa cowok disalahin ceweknyakorupsi uang,0
05/05/2021 00:55,ridhorahadi,Twitter for Android,[],60.0,5,0,kutip icw ketidakmauan boyong harun mas proses hukum hilang nama politis dlm dakwa korupsi bansos lin,0
05/05/2021 00:55,,,,,5,0,kader partai ngembat duit bansos sesuai kaidah agama sesuai pancasila impor beras garam tani padi amp,0
05/05/2021 00:57,santymarlim21,Twitter for Android,[],0.0,5,0,madame bansos jgn 2 boss pimpin kepala banteng yaaa,0
05/05/2021 00:59,Niawahdania667,Twitter for Android,[],248.0,5,0,lapor risma kpk 21 juta data terima bansos ganda tangan kp,0
05/05/2021 01:01,evikusss,Twitter for iPhone,[],9.0,5,1,menteri sri mulyani apbn anggar pulih ekonomi nasional,1
05/05/2021 01:01,DodikCandra4,Twitter for Android,[],0.0,5,0,efek frustasi saking pandemi banyak berita korupsi bansos swab pakai alat bekas pakai oknum tidak tanggung tidak korelasi dgn pandemi ini bisa muak efek frustasi,0
05/05/2021 01:05,dedisupriadikrw,Twitter for Android,[],0.0,5,0,pungli y lurah pegawai lurah y siih ko pecat lurahmya klo menteri korupsi bansos pecat,0
05/05/2021 01:07,HelmiAnwarA,Twitter for Android,[],0.0,5,0,selamat jiwa tua covid utama guna antigen bekas utama wisatawan asing negeri utama juga potong dana bansos utama lagi kaya kaum elit utama,0
05/05/2021 01:07,udahannnn,Twitter for Android,[],0.0,5,0,kayak denger kalo korup dana bansos covid hukum mati ehem yuk tagih janji yukk,0
05/05/2021 01:10,achek_neggro,Twitter for Android,[],0.0,5,0,gercep bener klo coba dah klo korupsi bansos sm antigen bekas kwkw,0
05/05/2021 01:10,,,,,5,0,busuk kpk degil amp,0
05/05/2021 01:14,linbangsa,Twitter for Android,['SahabatLAPOR'],4.0,4,1,selamat pagi sahabatlapor jalan baru data padu sejahtera sosial dtks terima bansos,1
05/05/2021 01:16,,,,,5,0,kerja panitia ada barang amp,0
05/05/2021 01:17,samiaji63,Twitter for iPhone,[],0.0,5,0,bagi bansos dikentit a b tidak bangsat pilih a,0
05/05/2021 01:19,zainuddinmassa,Twitter for Android,[],0.0,5,1,tangkap buzzer 2 bayar serta dedengkot bahaya nkri hukum mati libat korupsi bansos,1
05/05/2021 01:19,ApolloCreed80,Twitter for Android,[],0.0,5,0,dah indonesia ngomongin covid gua kaga percaya bansos covid korup tega bener kuasa tega orang kaga tuh maap publik kamera kaga kaya artis ketangkep narkoba maap kamera tumpul tumpul tumpul,0
05/05/2021 01:22,Muminae4,Twitter for Android,[],0.0,5,0,halaahhh mega korupsi bansos doang fee formula e lebih bayar formula e lebih bayar usut gue dukung kpk skrng,0
05/05/2021 01:22,penghobi_tidur,Twitter for Android,[],0.0,4,1,bansos ambil bang,1
05/05/2021 01:23,abudabudan,Twitter for Android,[],4.0,5,0,problem data problem utama seringkali sumber data beda data tenta,0
