Tweets;Sentiment
cek berita bansos pkh;1
temu kendala kemensos konsolidasi salur bansos pkh purwakarta;0
salur bansos suku anak padan nik berita jambi digital;1
bansos kemensos 2021 cair mei cek;1
cek online daftar terima blt umkm banpres bpum bri bni banpres blt bansos bpum;1
ngeliat berita korup dana bansos korona pikir duit korupsi;0
loe cek bansos aje makan tuh;0
akses cek terima bansos pkh bnpt cair mei 2021;1
negara kuasa koruptor pastai korup madam bansos;0
bansos pkh bnpt cair mei 2021;1
